Identifiant national BSS|Ancien code national BSS|Code côte chronique|Côte chronique définie pour le point d'eau|Date de la mesure|Profondeur relative/repère de mesure|Côte NGF|Code continuité|Continuité|Code mode obtention|Mode obtention|Code qualification|Qualification de la mesure|Code statut de la mesure|Statut de la mesure|Code nature de la mesure|Nature de la mesure|Profondeur début site de mesure|Profondeur fin site de mesure|X_WGS84|Y_WGS84|Producteur de données|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|30/06/2005 00:00:00|6.88|156.30|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|01/07/2005 00:00:00|6.88|156.30|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|02/07/2005 00:00:00|6.88|156.30|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|03/07/2005 00:00:00|6.86|156.32|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|04/07/2005 00:00:00|6.88|156.30|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|05/07/2005 00:00:00|6.88|156.30|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|06/07/2005 00:00:00|6.90|156.28|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|07/07/2005 00:00:00|6.92|156.26|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|08/07/2005 00:00:00|6.92|156.26|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|09/07/2005 00:00:00|6.94|156.24|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|10/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|11/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|12/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|13/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|14/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|15/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|16/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|17/07/2005 00:00:00|6.96|156.22|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|18/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|19/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|20/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|21/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|22/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|23/07/2005 00:00:00|6.98|156.20|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|24/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|25/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|26/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|27/07/2005 00:00:00|6.98|156.20|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|28/07/2005 00:00:00|6.98|156.20|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|29/07/2005 00:00:00|6.98|156.20|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|30/07/2005 00:00:00|7.00|156.18|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|31/07/2005 00:00:00|7.01|156.17|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|01/08/2005 00:00:00|7.01|156.17|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|02/08/2005 00:00:00|7.03|156.15|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|03/08/2005 00:00:00|7.03|156.15|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|04/08/2005 00:00:00|7.05|156.13|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|05/08/2005 00:00:00|7.05|156.13|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|06/08/2005 00:00:00|7.07|156.11|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|07/08/2005 00:00:00|7.07|156.11|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|08/08/2005 00:00:00|7.07|156.11|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|09/08/2005 00:00:00|7.07|156.11|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|10/08/2005 00:00:00|7.07|156.11|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|11/08/2005 00:00:00|7.09|156.09|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|12/08/2005 00:00:00|7.11|156.07|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|13/08/2005 00:00:00|7.11|156.07|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|14/08/2005 00:00:00|7.11|156.07|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|15/08/2005 00:00:00|7.13|156.05|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|16/08/2005 00:00:00|7.13|156.05|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|17/08/2005 00:00:00|7.13|156.05|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|18/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
