Sonde 765;;;
#;Date;Heure, GMT+02:00;Temp
1;02/07/2014;15:24:31;15,819
2;02/07/2014;17:24:31;16,534
3;02/07/2014;19:24:31;17,13
4;02/07/2014;21:24:31;16,82
5;02/07/2014;23:24:31;16,249
6;03/07/2014;01:24:31;15,748
7;03/07/2014;03:24:31;15,342
8;03/07/2014;05:24:31;14,912
9;03/07/2014;07:24:31;14,601
10;03/07/2014;09:24:31;14,96
11;03/07/2014;11:24:31;15,748
12;03/07/2014;13:24:31;16,439
13;03/07/2014;15:24:31;16,987
14;03/07/2014;17:24:31;17,605
15;03/07/2014;19:24:31;17,962
16;03/07/2014;21:24:31;17,796
17;03/07/2014;23:24:31;17,344
18;04/07/2014;01:24:31;16,915
19;04/07/2014;03:24:31;16,511
20;04/07/2014;05:24:31;16,082
21;04/07/2014;07:24:31;15,939
22;04/07/2014;09:24:31;16,177
23;04/07/2014;11:24:31;16,773
24;04/07/2014;13:24:31;17,296
25;04/07/2014;15:24:31;17,867
26;04/07/2014;17:24:31;18,438
27;04/07/2014;19:24:31;18,652
28;04/07/2014;21:24:31;18,105
29;04/07/2014;23:24:31;17,677
30;05/07/2014;01:24:31;17,534
31;05/07/2014;03:24:31;17,32
32;05/07/2014;05:24:31;17,082
33;05/07/2014;07:24:31;16,915
34;05/07/2014;09:24:31;16,796
35;05/07/2014;11:24:31;16,796
36;05/07/2014;13:24:31;16,868
37;05/07/2014;15:24:31;16,939
38;05/07/2014;17:24:31;16,963
39;05/07/2014;19:24:31;16,796
40;05/07/2014;21:24:31;16,677
41;05/07/2014;23:24:31;16,463
42;06/07/2014;01:24:31;16,225
43;06/07/2014;03:24:31;16,058
44;06/07/2014;05:24:31;15,915
45;06/07/2014;07:24:31;15,581
46;06/07/2014;09:24:31;15,247
47;06/07/2014;11:24:31;15,079
48;06/07/2014;13:24:31;15,175
49;06/07/2014;15:24:31;15,39
50;06/07/2014;17:24:31;15,748
51;06/07/2014;19:24:31;15,986
52;06/07/2014;21:24:31;15,819
53;06/07/2014;23:24:31;15,39
54;07/07/2014;01:24:31;14,888
55;07/07/2014;03:24:31;14,433
56;07/07/2014;05:24:31;14,05
57;07/07/2014;07:24:31;13,69
58;07/07/2014;09:24:31;13,858
59;07/07/2014;11:24:31;14,29
60;07/07/2014;13:24:31;14,505
61;07/07/2014;15:24:31;14,864
62;07/07/2014;17:24:31;15,366
63;07/07/2014;19:24:31;15,796
64;07/07/2014;21:24:31;15,39
65;07/07/2014;23:24:31;15,055
66;08/07/2014;01:24:31;14,84
67;08/07/2014;03:24:31;14,625
68;08/07/2014;05:24:31;14,505
69;08/07/2014;07:24:31;14,266
70;08/07/2014;09:24:31;14,409
71;08/07/2014;11:24:31;14,577
72;08/07/2014;13:24:31;14,697
73;08/07/2014;15:24:31;15,055
74;08/07/2014;17:24:31;15,366
75;08/07/2014;19:24:31;15,796
76;08/07/2014;21:24:31;15,318
77;08/07/2014;23:24:31;15,103
78;09/07/2014;01:24:31;14,888
79;09/07/2014;03:24:31;14,625
80;09/07/2014;05:24:31;14,385
81;09/07/2014;07:24:31;14,337
82;09/07/2014;09:24:31;14,314
83;09/07/2014;11:24:31;14,529
84;09/07/2014;13:24:31;14,792
85;09/07/2014;15:24:31;15,103
86;09/07/2014;17:24:31;15,366
87;09/07/2014;19:24:31;15,509
88;09/07/2014;21:24:31;15,294
89;09/07/2014;23:24:31;14,984
90;10/07/2014;01:24:31;14,816
91;10/07/2014;03:24:31;14,673
92;10/07/2014;05:24:31;14,529
93;10/07/2014;07:24:31;14,314
94;10/07/2014;09:24:31;14,337
95;10/07/2014;11:24:31;14,745
96;10/07/2014;13:24:31;15,151
97;10/07/2014;15:24:31;15,557
98;10/07/2014;17:24:31;16,201
99;10/07/2014;19:24:31;16,534
100;10/07/2014;21:24:31;16,392
101;10/07/2014;23:24:31;16,01
102;11/07/2014;01:24:31;15,867
103;11/07/2014;03:24:31;15,772
104;11/07/2014;05:24:31;15,509
105;11/07/2014;07:24:31;15,533
106;11/07/2014;09:24:31;15,605
107;11/07/2014;11:24:31;15,772
108;11/07/2014;13:24:31;16,034
109;11/07/2014;15:24:31;16,511
110;11/07/2014;17:24:31;16,511
111;11/07/2014;19:24:31;16,773
112;11/07/2014;21:24:31;16,558
113;11/07/2014;23:24:31;16,272
114;12/07/2014;01:24:31;16,153
115;12/07/2014;03:24:31;16,082
116;12/07/2014;05:24:31;16,034
117;12/07/2014;07:24:31;15,963
118;12/07/2014;09:24:31;15,963
119;12/07/2014;11:24:31;16,01
120;12/07/2014;13:24:31;16,32
121;12/07/2014;15:24:31;16,654
122;12/07/2014;17:24:31;17,034
123;12/07/2014;19:24:31;17,439
124;12/07/2014;21:24:31;17,153
125;12/07/2014;23:24:31;16,939
126;13/07/2014;01:24:31;16,749
127;13/07/2014;03:24:31;16,558
128;13/07/2014;05:24:31;16,415
129;13/07/2014;07:24:31;16,296
130;13/07/2014;09:24:31;16,272
131;13/07/2014;11:24:31;16,368
132;13/07/2014;13:24:31;16,344
133;13/07/2014;15:24:31;16,463
134;13/07/2014;17:24:31;16,868
135;13/07/2014;19:24:31;16,844
136;13/07/2014;21:24:31;16,32
137;13/07/2014;23:24:31;15,939
138;14/07/2014;01:24:31;15,461
139;14/07/2014;03:24:31;15,008
140;14/07/2014;05:24:31;14,625
141;14/07/2014;07:24:31;14,361
142;14/07/2014;09:24:31;14,601
143;14/07/2014;11:24:31;14,936
144;14/07/2014;13:24:31;15,318
145;14/07/2014;15:24:31;15,796
146;14/07/2014;17:24:31;16,32
147;14/07/2014;19:24:31;16,701
148;14/07/2014;21:24:31;16,487
149;14/07/2014;23:24:31;16,249
150;15/07/2014;01:24:31;16,249
151;15/07/2014;03:24:31;16,272
152;15/07/2014;05:24:31;16,177
153;15/07/2014;07:24:31;16,058
154;15/07/2014;09:24:31;16,082
155;15/07/2014;11:24:31;16,344
156;15/07/2014;13:24:31;16,606
157;15/07/2014;15:24:31;17,011
158;15/07/2014;17:24:31;17,058
159;15/07/2014;19:24:31;17,177
160;15/07/2014;21:24:31;17,106
161;15/07/2014;23:24:31;16,725
162;16/07/2014;01:24:31;16,487
163;16/07/2014;03:24:31;16,32
164;16/07/2014;05:24:31;16,272
165;16/07/2014;07:24:31;16,201
166;16/07/2014;09:24:31;16,272
167;16/07/2014;11:24:31;16,701
168;16/07/2014;13:24:31;17,106
169;16/07/2014;15:24:31;17,558
170;16/07/2014;17:24:31;18,057
171;16/07/2014;19:24:31;18,366
172;16/07/2014;21:24:31;18,247
173;16/07/2014;23:24:31;17,748
174;17/07/2014;01:24:31;17,249
175;17/07/2014;03:24:31;16,844
176;17/07/2014;05:24:31;16,487
177;17/07/2014;07:24:31;16,177
178;17/07/2014;09:24:31;16,392
179;17/07/2014;11:24:31;17,011
180;17/07/2014;13:24:31;17,772
181;17/07/2014;15:24:31;18,628
182;17/07/2014;17:24:31;19,508
183;17/07/2014;19:24:31;19,865
184;17/07/2014;21:24:31;19,46
185;17/07/2014;23:24:31;19,294
186;18/07/2014;01:24:31;19,127
187;18/07/2014;03:24:31;18,961
188;18/07/2014;05:24:31;18,699
189;18/07/2014;07:24:31;18,485
190;18/07/2014;09:24:31;18,414
191;18/07/2014;11:24:31;18,628
192;18/07/2014;13:24:31;19,103
193;18/07/2014;15:24:31;19,674
194;18/07/2014;17:24:31;20,317
195;18/07/2014;19:24:31;20,246
196;18/07/2014;21:24:31;19,865
197;18/07/2014;23:24:31;19,365
198;19/07/2014;01:24:31;19,103
199;19/07/2014;03:24:31;18,794
200;19/07/2014;05:24:31;18,604
201;19/07/2014;07:24:31;18,509
202;19/07/2014;09:24:31;18,485
203;19/07/2014;11:24:31;18,699
204;19/07/2014;13:24:31;19,008
205;19/07/2014;15:24:31;19,27
206;19/07/2014;17:24:31;19,651
207;19/07/2014;19:24:31;19,651
208;19/07/2014;21:24:31;19,341
209;19/07/2014;23:24:31;18,747
210;20/07/2014;01:24:31;18,224
211;20/07/2014;03:24:31;17,986
212;20/07/2014;05:24:31;17,772
213;20/07/2014;07:24:31;17,558
214;20/07/2014;09:24:31;17,32
215;20/07/2014;11:24:31;16,987
216;20/07/2014;13:24:31;17,058
217;20/07/2014;15:24:31;16,868
218;20/07/2014;17:24:31;16,725
219;20/07/2014;19:24:31;16,749
220;20/07/2014;21:24:31;16,654
221;20/07/2014;23:24:31;16,296
222;21/07/2014;01:24:31;16,034
223;21/07/2014;03:24:31;15,915
224;21/07/2014;05:24:31;15,7
225;21/07/2014;07:24:31;15,605
226;21/07/2014;09:24:31;15,7
227;21/07/2014;11:24:31;15,939
228;21/07/2014;13:24:31;16,439
229;21/07/2014;15:24:31;16,773
230;21/07/2014;17:24:31;16,868
231;21/07/2014;19:24:31;17,011
232;21/07/2014;21:24:31;16,939
233;21/07/2014;23:24:31;16,511
234;22/07/2014;01:24:31;16,177
235;22/07/2014;03:24:31;15,915
236;22/07/2014;05:24:31;15,557
237;22/07/2014;07:24:31;15,342
238;22/07/2014;09:24:31;15,605
239;22/07/2014;11:24:31;16,225
240;22/07/2014;13:24:31;16,796
241;22/07/2014;15:24:31;17,32
242;22/07/2014;17:24:31;17,748
243;22/07/2014;19:24:31;18,01
244;22/07/2014;21:24:31;17,582
245;22/07/2014;23:24:31;17,201
246;23/07/2014;01:24:31;16,987
247;23/07/2014;03:24:31;16,939
248;23/07/2014;05:24:31;16,844
249;23/07/2014;07:24:31;16,892
250;23/07/2014;09:24:31;16,963
251;23/07/2014;11:24:31;17,249
252;23/07/2014;13:24:31;17,772
253;23/07/2014;15:24:31;18,461
254;23/07/2014;17:24:31;18,937
255;23/07/2014;19:24:31;19,27
256;23/07/2014;21:24:31;19,008
257;23/07/2014;23:24:31;18,557
258;24/07/2014;01:24:31;18,39
259;24/07/2014;03:24:31;18,176
260;24/07/2014;05:24:31;17,867
261;24/07/2014;07:24:31;17,534
262;24/07/2014;09:24:31;17,701
263;24/07/2014;11:24:31;18,247
264;24/07/2014;13:24:31;18,889
265;24/07/2014;15:24:31;19,532
266;24/07/2014;17:24:31;19,888
267;24/07/2014;19:24:31;19,865
268;24/07/2014;21:24:31;19,746
269;24/07/2014;23:24:31;19,484
270;25/07/2014;01:24:31;18,961
271;25/07/2014;03:24:31;18,39
272;25/07/2014;05:24:31;17,891
273;25/07/2014;07:24:31;17,582
274;25/07/2014;09:24:31;17,629
275;25/07/2014;11:24:31;18,033
276;25/07/2014;13:24:31;18,533
277;25/07/2014;15:24:31;19,032
278;25/07/2014;17:24:31;19,389
279;25/07/2014;19:24:31;19,555
280;25/07/2014;21:24:31;18,961
281;25/07/2014;23:24:31;18,271
282;26/07/2014;01:24:31;17,748
283;26/07/2014;03:24:31;17,344
284;26/07/2014;05:24:31;17,011
285;26/07/2014;07:24:31;16,725
286;26/07/2014;09:24:31;16,82
287;26/07/2014;11:24:31;17,486
288;26/07/2014;13:24:31;17,891
289;26/07/2014;15:24:31;18,271
290;26/07/2014;17:24:31;18,533
291;26/07/2014;19:24:31;18,913
292;26/07/2014;21:24:31;18,438
293;26/07/2014;23:24:31;17,796
294;27/07/2014;01:24:31;17,368
295;27/07/2014;03:24:31;16,963
296;27/07/2014;05:24:31;16,654
297;27/07/2014;07:24:31;16,439
298;27/07/2014;09:24:31;16,654
299;27/07/2014;11:24:31;17,368
300;27/07/2014;13:24:31;18,01
301;27/07/2014;15:24:31;18,533
302;27/07/2014;17:24:31;18,699
303;27/07/2014;19:24:31;18,675
304;27/07/2014;21:24:31;18,461
305;27/07/2014;23:24:31;18,105
306;28/07/2014;01:24:31;17,724
307;28/07/2014;03:24:31;17,344
308;28/07/2014;05:24:31;16,868
309;28/07/2014;07:24:31;16,392
310;28/07/2014;09:24:31;16,511
311;28/07/2014;11:24:31;16,82
312;28/07/2014;13:24:31;16,963
313;28/07/2014;15:24:31;17,201
314;28/07/2014;17:24:31;17,249
315;28/07/2014;19:24:31;17,463
316;28/07/2014;21:24:31;17,058
317;28/07/2014;23:24:31;16,63
318;29/07/2014;01:24:31;16,129
319;29/07/2014;03:24:31;15,748
320;29/07/2014;05:24:31;15,7
321;29/07/2014;07:24:31;15,772
322;29/07/2014;09:24:31;15,843
323;29/07/2014;11:24:31;15,891
324;29/07/2014;13:24:31;15,963
325;29/07/2014;15:24:31;16,129
326;29/07/2014;17:24:31;16,749
327;29/07/2014;19:24:31;17,082
328;29/07/2014;21:24:31;16,701
329;29/07/2014;23:24:31;16,153
330;30/07/2014;01:24:31;15,772
331;30/07/2014;03:24:31;15,533
332;30/07/2014;05:24:31;15,223
333;30/07/2014;07:24:31;14,912
334;30/07/2014;09:24:31;15,175
335;30/07/2014;11:24:31;15,724
336;30/07/2014;13:24:31;16,368
337;30/07/2014;15:24:31;17,034
338;30/07/2014;17:24:31;17,534
339;30/07/2014;19:24:31;17,843
340;30/07/2014;21:24:31;17,463
341;30/07/2014;23:24:31;16,725
342;31/07/2014;01:24:31;16,153
343;31/07/2014;03:24:31;15,7
344;31/07/2014;05:24:31;15,27
345;31/07/2014;07:24:31;15,008
346;31/07/2014;09:24:31;15,199
347;31/07/2014;11:24:31;15,796
348;31/07/2014;13:24:31;16,415
349;31/07/2014;15:24:31;16,844
350;31/07/2014;17:24:31;17,32
351;31/07/2014;19:24:31;17,344
352;31/07/2014;21:24:31;17,153
353;31/07/2014;23:24:31;16,511
354;01/08/2014;01:24:31;15,963
355;01/08/2014;03:24:31;15,485
356;01/08/2014;05:24:31;15,055
357;01/08/2014;07:24:31;14,768
358;01/08/2014;09:24:31;14,936
359;01/08/2014;11:24:31;15,7
360;01/08/2014;13:24:31;16,296
361;01/08/2014;15:24:31;16,844
362;01/08/2014;17:24:31;17,368
363;01/08/2014;19:24:31;17,51
364;01/08/2014;21:24:31;17,225
365;01/08/2014;23:24:31;16,725
366;02/08/2014;01:24:31;16,487
367;02/08/2014;03:24:31;16,32
368;02/08/2014;05:24:31;16,153
369;02/08/2014;07:24:31;15,986
370;02/08/2014;09:24:31;16,153
371;02/08/2014;11:24:31;16,487
372;02/08/2014;13:24:31;16,773
373;02/08/2014;15:24:31;16,963
374;02/08/2014;17:24:31;17,225
375;02/08/2014;19:24:31;17,534
376;02/08/2014;21:24:31;17,201
377;02/08/2014;23:24:31;16,82
378;03/08/2014;01:24:31;16,606
379;03/08/2014;03:24:31;16,463
380;03/08/2014;05:24:31;16,249
381;03/08/2014;07:24:31;16,058
382;03/08/2014;09:24:31;16,034
383;03/08/2014;11:24:31;16,296
384;03/08/2014;13:24:31;16,558
385;03/08/2014;15:24:31;17,011
386;03/08/2014;17:24:31;17,391
387;03/08/2014;19:24:31;17,51
388;03/08/2014;21:24:31;17,153
389;03/08/2014;23:24:31;16,558
390;04/08/2014;01:24:31;16,272
391;04/08/2014;03:24:31;16,082
392;04/08/2014;05:24:31;15,7
393;04/08/2014;07:24:31;15,27
394;04/08/2014;09:24:31;15,247
395;04/08/2014;11:24:31;15,796
396;04/08/2014;13:24:31;16,392
397;04/08/2014;15:24:31;16,844
398;04/08/2014;17:24:31;17,32
399;04/08/2014;19:24:31;17,32
400;04/08/2014;21:24:31;17,082
401;04/08/2014;23:24:31;16,82
402;05/08/2014;01:24:31;16,368
403;05/08/2014;03:24:31;15,843
404;05/08/2014;05:24:31;15,366
405;05/08/2014;07:24:31;15,151
406;05/08/2014;09:24:31;15,414
407;05/08/2014;11:24:31;15,986
408;05/08/2014;13:24:31;16,511
409;05/08/2014;15:24:31;17,13
410;05/08/2014;17:24:31;17,582
411;05/08/2014;19:24:31;17,772
412;05/08/2014;21:24:31;17,582
413;05/08/2014;23:24:31;17,32
414;06/08/2014;01:24:31;17,225
415;06/08/2014;03:24:31;17,106
416;06/08/2014;05:24:31;16,963
417;06/08/2014;07:24:31;16,82
418;06/08/2014;09:24:31;16,82
419;06/08/2014;11:24:31;16,773
420;06/08/2014;13:24:31;16,82
421;06/08/2014;15:24:31;16,987
422;06/08/2014;17:24:31;17,344
423;06/08/2014;19:24:31;17,582
424;06/08/2014;21:24:31;17,415
425;06/08/2014;23:24:31;17,225
426;07/08/2014;01:24:31;17,106
427;07/08/2014;03:24:31;17,011
428;07/08/2014;05:24:31;16,915
429;07/08/2014;07:24:31;16,82
430;07/08/2014;09:24:31;16,868
431;07/08/2014;11:24:31;17,034
432;07/08/2014;13:24:31;17,463
433;07/08/2014;15:24:31;17,701
434;07/08/2014;17:24:31;17,843
435;07/08/2014;19:24:31;17,891
436;07/08/2014;21:24:31;17,724
437;07/08/2014;23:24:31;17,415
438;08/08/2014;01:24:31;17,272
439;08/08/2014;03:24:31;17,177
440;08/08/2014;05:24:31;17,058
441;08/08/2014;07:24:31;16,892
442;08/08/2014;09:24:31;16,892
443;08/08/2014;11:24:31;17,082
444;08/08/2014;13:24:31;17,272
445;08/08/2014;15:24:31;17,51
446;08/08/2014;17:24:31;17,51
447;08/08/2014;19:24:31;17,486
448;08/08/2014;21:24:31;17,463
449;08/08/2014;23:24:31;16,963
450;09/08/2014;01:24:31;16,534
451;09/08/2014;03:24:31;16,129
452;09/08/2014;05:24:31;16,01
453;09/08/2014;07:24:31;15,891
454;09/08/2014;09:24:31;15,915
455;09/08/2014;11:24:31;16,058
456;09/08/2014;13:24:31;16,415
457;09/08/2014;15:24:31;16,773
458;09/08/2014;17:24:31;17,177
459;09/08/2014;19:24:31;17,344
460;09/08/2014;21:24:31;17,249
461;09/08/2014;23:24:31;17,082
462;10/08/2014;01:24:31;16,987
463;10/08/2014;03:24:31;16,844
464;10/08/2014;05:24:31;16,749
465;10/08/2014;07:24:31;16,677
466;10/08/2014;09:24:31;16,63
467;10/08/2014;11:24:31;16,82
468;10/08/2014;13:24:31;16,844
469;10/08/2014;15:24:31;16,963
470;10/08/2014;17:24:31;17,296
471;10/08/2014;19:24:31;17,415
472;10/08/2014;21:24:31;16,987
473;10/08/2014;23:24:31;16,511
474;11/08/2014;01:24:31;16,249
