Sonde 811;;;
#;Date;Heure, GMT+01:00;Temp
14;08/03/2012;16:46:58;7,594
15;08/03/2012;18:46:58;7,419
16;08/03/2012;20:46:58;6,94
17;08/03/2012;22:46:58;6,23
18;09/03/2012;00:46:58;5,514
19;09/03/2012;02:46:58;4,895
20;09/03/2012;04:46:58;4,402
21;09/03/2012;06:46:58;4,011
22;09/03/2012;08:46:58;3,696
23;09/03/2012;10:46:58;4,584
24;09/03/2012;12:46:58;6,331
25;09/03/2012;14:46:58;7,217
26;09/03/2012;16:46:58;7,217
27;09/03/2012;18:46:58;7,192
28;09/03/2012;20:46:58;7,015
29;09/03/2012;22:46:58;6,914
30;10/03/2012;00:46:58;6,864
31;10/03/2012;02:46:58;6,839
32;10/03/2012;04:46:58;6,763
33;10/03/2012;06:46:58;6,687
34;10/03/2012;08:46:58;6,712
35;10/03/2012;10:46:58;7,242
36;10/03/2012;12:46:58;8,568
37;10/03/2012;14:46:58;8,941
38;10/03/2012;16:46:58;9,064
39;10/03/2012;18:46:58;8,916
40;10/03/2012;20:46:58;8,494
41;10/03/2012;22:46:58;8,344
42;11/03/2012;00:46:58;8,22
43;11/03/2012;02:46:58;8,17
44;11/03/2012;04:46:58;8,095
45;11/03/2012;06:46:58;8,02
46;11/03/2012;08:46:58;7,97
47;11/03/2012;10:46:58;8,195
48;11/03/2012;12:46:58;9,238
49;11/03/2012;14:46:58;9,928
50;11/03/2012;16:46:58;10,051
51;11/03/2012;18:46:58;9,756
52;11/03/2012;20:46:58;8,965
53;11/03/2012;22:46:58;7,945
54;12/03/2012;00:46:58;7,066
55;12/03/2012;02:46:58;6,636
56;12/03/2012;04:46:58;6,23
57;12/03/2012;06:46:58;5,949
58;12/03/2012;08:46:58;5,77
59;12/03/2012;10:46:58;6,408
60;12/03/2012;12:46:58;8,369
61;12/03/2012;14:46:58;9,78
62;12/03/2012;16:46:58;10,271
63;12/03/2012;18:46:58;9,977
64;12/03/2012;20:46:58;9,015
65;12/03/2012;22:46:58;7,895
66;13/03/2012;00:46:58;7,041
67;13/03/2012;02:46:58;6,813
68;13/03/2012;04:46:58;6,864
69;13/03/2012;06:46:58;6,839
70;13/03/2012;08:46:58;6,864
71;13/03/2012;10:46:58;7,116
72;13/03/2012;12:46:58;7,695
