Sonde 769;;;
#;Date;Heure, GMT+02:00;Temp
1;24/09/2014;12:44:02;12,074
2;24/09/2014;14:44:02;13,233
3;24/09/2014;16:44:02;13,906
4;24/09/2014;18:44:02;14,026
5;24/09/2014;20:44:02;13,906
6;24/09/2014;22:44:02;13,546
7;25/09/2014;00:44:02;12,775
8;25/09/2014;02:44:02;12,025
9;25/09/2014;04:44:02;11,394
10;25/09/2014;06:44:02;10,907
11;25/09/2014;08:44:02;10,492
12;25/09/2014;10:44:02;10,907
13;25/09/2014;12:44:02;12,316
14;25/09/2014;14:44:02;12,992
15;25/09/2014;16:44:02;13,69
16;25/09/2014;18:44:02;13,81
17;25/09/2014;20:44:02;13,305
18;25/09/2014;22:44:02;12,63
19;26/09/2014;00:44:02;12,001
20;26/09/2014;02:44:02;11,443
21;26/09/2014;04:44:02;11,005
22;26/09/2014;06:44:02;10,638
23;26/09/2014;08:44:02;10,369
24;26/09/2014;10:44:02;10,932
25;26/09/2014;12:44:02;12,292
26;26/09/2014;14:44:02;13,449
27;26/09/2014;16:44:02;14,17
28;26/09/2014;18:44:02;14,218
29;26/09/2014;20:44:02;13,714
30;26/09/2014;22:44:02;13,137
31;27/09/2014;00:44:02;12,509
32;27/09/2014;02:44:02;12,001
33;27/09/2014;04:44:02;11,54
34;27/09/2014;06:44:02;11,224
35;27/09/2014;08:44:02;10,98
36;27/09/2014;10:44:02;11,613
37;27/09/2014;12:44:02;13,281
38;27/09/2014;14:44:02;14,553
39;27/09/2014;16:44:02;15,247
40;27/09/2014;18:44:02;15,247
41;27/09/2014;20:44:02;14,673
42;27/09/2014;22:44:02;14,002
43;28/09/2014;00:44:02;13,377
44;28/09/2014;02:44:02;12,871
45;28/09/2014;04:44:02;12,485
46;28/09/2014;06:44:02;12,171
47;28/09/2014;08:44:02;11,929
48;28/09/2014;10:44:02;12,509
49;28/09/2014;12:44:02;13,882
50;28/09/2014;14:44:02;14,912
51;28/09/2014;16:44:02;15,724
52;28/09/2014;18:44:02;15,748
53;28/09/2014;20:44:02;15,318
54;28/09/2014;22:44:02;14,864
55;29/09/2014;00:44:02;14,481
56;29/09/2014;02:44:02;14,337
57;29/09/2014;04:44:02;14,17
58;29/09/2014;06:44:02;14,05
59;29/09/2014;08:44:02;13,978
60;29/09/2014;10:44:02;14,409
61;29/09/2014;12:44:02;14,768
62;29/09/2014;14:44:02;15,461
63;29/09/2014;16:44:02;15,724
64;29/09/2014;18:44:02;15,796
65;29/09/2014;20:44:02;15,414
66;29/09/2014;22:44:02;14,96
67;30/09/2014;00:44:02;14,505
68;30/09/2014;02:44:02;13,978
69;30/09/2014;04:44:02;13,473
70;30/09/2014;06:44:02;13,425
71;30/09/2014;08:44:02;13,57
72;30/09/2014;10:44:02;13,858
73;30/09/2014;12:44:02;14,649
74;30/09/2014;14:44:02;15,485
75;30/09/2014;16:44:02;16,034
76;30/09/2014;18:44:02;15,963
77;30/09/2014;20:44:02;15,294
78;30/09/2014;22:44:02;14,577
79;01/10/2014;00:44:02;13,978
80;01/10/2014;02:44:02;13,449
81;01/10/2014;04:44:02;13,016
82;01/10/2014;06:44:02;12,751
83;01/10/2014;08:44:02;12,727
84;01/10/2014;10:44:02;13,064
85;01/10/2014;12:44:02;13,762
86;01/10/2014;14:44:02;14,792
87;01/10/2014;16:44:02;15,223
88;01/10/2014;18:44:02;15,27
89;01/10/2014;20:44:02;15,079
90;01/10/2014;22:44:02;14,864
91;02/10/2014;00:44:02;14,697
92;02/10/2014;02:44:02;14,505
93;02/10/2014;04:44:02;14,409
94;02/10/2014;06:44:02;14,314
95;02/10/2014;08:44:02;14,218
96;02/10/2014;10:44:02;14,457
97;02/10/2014;12:44:02;15,199
98;02/10/2014;14:44:02;15,867
99;02/10/2014;16:44:02;16,177
100;02/10/2014;18:44:02;16,201
101;02/10/2014;20:44:02;15,772
102;02/10/2014;22:44:02;15,294
103;03/10/2014;00:44:02;14,625
104;03/10/2014;02:44:02;14,074
105;03/10/2014;04:44:02;13,714
106;03/10/2014;06:44:02;13,401
107;03/10/2014;08:44:02;13,016
108;03/10/2014;10:44:02;13,377
109;03/10/2014;12:44:02;14,553
110;03/10/2014;14:44:02;15,318
111;03/10/2014;16:44:02;15,867
112;03/10/2014;18:44:02;15,915
113;03/10/2014;20:44:02;15,414
114;03/10/2014;22:44:02;14,816
115;04/10/2014;00:44:02;14,218
116;04/10/2014;02:44:02;13,666
117;04/10/2014;04:44:02;13,473
118;04/10/2014;06:44:02;13,257
119;04/10/2014;08:44:02;13,064
120;04/10/2014;10:44:02;13,401
121;04/10/2014;12:44:02;14,385
122;04/10/2014;14:44:02;14,745
123;04/10/2014;16:44:02;14,05
124;04/10/2014;18:44:02;13,786
125;04/10/2014;20:44:02;13,425
126;04/10/2014;22:44:02;12,703
127;05/10/2014;00:44:02;11,88
128;05/10/2014;02:44:02;11,248
129;05/10/2014;04:44:02;10,785
130;05/10/2014;06:44:02;10,32
131;05/10/2014;08:44:02;9,903
132;05/10/2014;10:44:02;10,222
133;05/10/2014;12:44:02;11,443
134;05/10/2014;14:44:02;12,316
135;05/10/2014;16:44:02;12,703
136;05/10/2014;18:44:02;12,606
137;05/10/2014;20:44:02;12,171
138;05/10/2014;22:44:02;11,467
139;06/10/2014;00:44:02;10,834
140;06/10/2014;02:44:02;10,516
141;06/10/2014;04:44:02;10,467
142;06/10/2014;06:44:02;10,541
143;06/10/2014;08:44:02;10,516
144;06/10/2014;10:44:02;10,614
145;06/10/2014;12:44:02;10,785
146;06/10/2014;14:44:02;11,297
147;06/10/2014;16:44:02;11,54
148;06/10/2014;18:44:02;11,856
149;06/10/2014;20:44:02;11,613
150;06/10/2014;22:44:02;11,321
151;07/10/2014;00:44:02;11,297
152;07/10/2014;02:44:02;11,273
153;07/10/2014;04:44:02;11,37
154;07/10/2014;06:44:02;11,346
155;07/10/2014;08:44:02;11,346
156;07/10/2014;10:44:02;11,419
157;07/10/2014;12:44:02;11,637
158;07/10/2014;14:44:02;11,977
159;07/10/2014;16:44:02;12,437
160;07/10/2014;18:44:02;12,461
161;07/10/2014;20:44:02;12,074
162;07/10/2014;22:44:02;11,565
163;08/10/2014;00:44:02;11,516
164;08/10/2014;02:44:02;11,613
165;08/10/2014;04:44:02;11,807
166;08/10/2014;06:44:02;12,122
167;08/10/2014;08:44:02;12,316
168;08/10/2014;10:44:02;12,485
169;08/10/2014;12:44:02;13,281
170;08/10/2014;14:44:02;14,074
171;08/10/2014;16:44:02;14,146
172;08/10/2014;18:44:02;13,834
173;08/10/2014;20:44:02;13,497
174;08/10/2014;22:44:02;13,329
175;09/10/2014;00:44:02;13,233
176;09/10/2014;02:44:02;13,088
177;09/10/2014;04:44:02;12,944
178;09/10/2014;06:44:02;12,775
179;09/10/2014;08:44:02;12,534
180;09/10/2014;10:44:02;12,606
181;09/10/2014;12:44:02;13,425
182;09/10/2014;14:44:02;13,978
183;09/10/2014;16:44:02;14,002
184;09/10/2014;18:44:02;13,906
185;09/10/2014;20:44:02;13,57
186;09/10/2014;22:44:02;13,161
187;10/10/2014;00:44:02;12,703
188;10/10/2014;02:44:02;11,953
189;10/10/2014;04:44:02;11,443
190;10/10/2014;06:44:02;11,078
191;10/10/2014;08:44:02;10,858
192;10/10/2014;10:44:02;11,175
193;10/10/2014;12:44:02;12,34
194;10/10/2014;14:44:02;13,305
195;10/10/2014;16:44:02;13,69
196;10/10/2014;18:44:02;13,57
197;10/10/2014;20:44:02;13,257
198;10/10/2014;22:44:02;12,992
199;11/10/2014;00:44:02;12,775
200;11/10/2014;02:44:02;12,34
201;11/10/2014;04:44:02;11,88
202;11/10/2014;06:44:02;11,443
203;11/10/2014;08:44:02;11,297
204;11/10/2014;10:44:02;11,71
205;11/10/2014;12:44:02;12,727
206;11/10/2014;14:44:02;13,522
207;11/10/2014;16:44:02;13,762
