Sonde 104;;;
#;Date;Heure, GMT+01:00;Temp
13;08/03/2012;14:37:43;6,864
14;08/03/2012;16:37:43;7,368
15;08/03/2012;18:37:43;7,142
16;08/03/2012;20:37:43;6,56
17;08/03/2012;22:37:43;5,949
18;09/03/2012;00:37:43;5,411
19;09/03/2012;02:37:43;4,895
20;09/03/2012;04:37:43;4,428
21;09/03/2012;06:37:43;4,063
22;09/03/2012;08:37:43;3,801
23;09/03/2012;10:37:43;4,402
24;09/03/2012;12:37:43;5,411
25;09/03/2012;14:37:43;6,23
26;09/03/2012;16:37:43;6,585
27;09/03/2012;18:37:43;6,737
28;09/03/2012;20:37:43;6,788
29;09/03/2012;22:37:43;6,763
30;10/03/2012;00:37:43;6,687
31;10/03/2012;02:37:43;6,636
32;10/03/2012;04:37:43;6,56
33;10/03/2012;06:37:43;6,484
34;10/03/2012;08:37:43;6,509
35;10/03/2012;10:37:43;6,94
36;10/03/2012;12:37:43;7,67
37;10/03/2012;14:37:43;8,095
38;10/03/2012;16:37:43;8,394
39;10/03/2012;18:37:43;8,369
40;10/03/2012;20:37:43;8,245
41;10/03/2012;22:37:43;8,145
42;11/03/2012;00:37:43;8,045
43;11/03/2012;02:37:43;7,97
44;11/03/2012;04:37:43;7,92
45;11/03/2012;06:37:43;7,87
46;11/03/2012;08:37:43;7,795
47;11/03/2012;10:37:43;7,97
48;11/03/2012;12:37:43;8,419
49;11/03/2012;14:37:43;9,064
50;11/03/2012;16:37:43;9,361
51;11/03/2012;18:37:43;9,336
52;11/03/2012;20:37:43;8,941
53;11/03/2012;22:37:43;8,295
54;12/03/2012;00:37:43;7,87
55;12/03/2012;02:37:43;7,368
56;12/03/2012;04:37:43;6,914
57;12/03/2012;06:37:43;6,484
58;12/03/2012;08:37:43;6,153
59;12/03/2012;10:37:43;6,408
60;12/03/2012;12:37:43;7,745
61;12/03/2012;14:37:43;9,04
62;12/03/2012;16:37:43;9,903
63;12/03/2012;18:37:43;9,829
64;12/03/2012;20:37:43;9,139
65;12/03/2012;22:37:43;8,394
66;13/03/2012;00:37:43;7,77
67;13/03/2012;02:37:43;7,444
68;13/03/2012;04:37:43;7,116
69;13/03/2012;06:37:43;6,839
70;13/03/2012;08:37:43;6,661
71;13/03/2012;10:37:43;6,712
72;13/03/2012;12:37:43;6,965
73;13/03/2012;14:37:43;7,343
74;13/03/2012;16:37:43;7,645
75;13/03/2012;18:37:43;7,745
76;13/03/2012;20:37:43;7,645
77;13/03/2012;22:37:43;7,217
78;14/03/2012;00:37:43;6,763
79;14/03/2012;02:37:43;6,484
80;14/03/2012;04:37:43;6,458
81;14/03/2012;06:37:43;6,484
82;14/03/2012;08:37:43;6,484
83;14/03/2012;10:37:43;6,636
84;14/03/2012;12:37:43;7,268
85;14/03/2012;14:37:43;8,618
86;14/03/2012;16:37:43;9,509
87;14/03/2012;18:37:43;9,558
88;14/03/2012;20:37:43;8,891
89;14/03/2012;22:37:43;8,07
90;15/03/2012;00:37:43;7,343
91;15/03/2012;02:37:43;6,687
92;15/03/2012;04:37:43;6,077
93;15/03/2012;06:37:43;5,514
94;15/03/2012;08:37:43;5,128
95;15/03/2012;10:37:43;5,821
96;15/03/2012;12:37:43;7,594
97;15/03/2012;14:37:43;9,312
98;15/03/2012;16:37:43;10,467
99;15/03/2012;18:37:43;10,565
100;15/03/2012;20:37:43;9,829
101;15/03/2012;22:37:43;9,46
102;16/03/2012;00:37:43;9,213
103;16/03/2012;02:37:43;9,064
104;16/03/2012;04:37:43;8,866
105;16/03/2012;06:37:43;8,618
106;16/03/2012;08:37:43;8,369
107;16/03/2012;10:37:43;8,469
108;16/03/2012;12:37:43;8,965
109;16/03/2012;14:37:43;10,1
110;16/03/2012;16:37:43;10,663
111;16/03/2012;18:37:43;10,638
112;16/03/2012;20:37:43;9,952
113;16/03/2012;22:37:43;9,361
114;17/03/2012;00:37:43;8,717
115;17/03/2012;02:37:43;8,394
116;17/03/2012;04:37:43;8,319
117;17/03/2012;06:37:43;8,195
118;17/03/2012;08:37:43;8,17
119;17/03/2012;10:37:43;8,295
120;17/03/2012;12:37:43;8,792
121;17/03/2012;14:37:43;8,941
122;17/03/2012;16:37:43;9,163
123;17/03/2012;18:37:43;8,891
124;17/03/2012;20:37:43;8,568
125;17/03/2012;22:37:43;8,245
126;18/03/2012;00:37:43;8,02
127;18/03/2012;02:37:43;7,795
128;18/03/2012;04:37:43;7,645
129;18/03/2012;06:37:43;7,293
130;18/03/2012;08:37:43;7,041
131;18/03/2012;10:37:43;7,167
132;18/03/2012;12:37:43;7,444
133;18/03/2012;14:37:43;7,77
134;18/03/2012;16:37:43;8,07
135;18/03/2012;18:37:43;8,045
136;18/03/2012;20:37:43;7,645
137;18/03/2012;22:37:43;7,091
138;19/03/2012;00:37:43;6,661
139;19/03/2012;02:37:43;6,331
140;19/03/2012;04:37:43;5,975
141;19/03/2012;06:37:43;5,616
142;19/03/2012;08:37:43;5,308
143;19/03/2012;10:37:43;5,898
144;19/03/2012;12:37:43;6,763
145;19/03/2012;14:37:43;7,87
146;19/03/2012;16:37:43;8,568
147;19/03/2012;18:37:43;8,22
148;19/03/2012;20:37:43;7,569
149;19/03/2012;22:37:43;6,763
150;20/03/2012;00:37:43;6,051
151;20/03/2012;02:37:43;5,36
152;20/03/2012;04:37:43;4,74
153;20/03/2012;06:37:43;4,22
154;20/03/2012;08:37:43;3,88
155;20/03/2012;10:37:43;4,636
156;20/03/2012;12:37:43;5,872
157;20/03/2012;14:37:43;6,889
158;20/03/2012;16:37:43;7,544
159;20/03/2012;18:37:43;7,619
160;20/03/2012;20:37:43;7,393
161;20/03/2012;22:37:43;7,041
162;21/03/2012;00:37:43;6,661
163;21/03/2012;02:37:43;6,306
164;21/03/2012;04:37:43;5,745
165;21/03/2012;06:37:43;5,179
166;21/03/2012;08:37:43;4,895
167;21/03/2012;10:37:43;5,693
168;21/03/2012;12:37:43;7,268
169;21/03/2012;14:37:43;8,742
