Sonde 816;;;
#;Date;Heure, GMT+02:00;Temp
698;27/05/2011;18:00:00;13,305
699;27/05/2011;20:00:00;13,305
700;27/05/2011;22:00:00;13,088
701;28/05/2011;00:00:00;12,847
702;28/05/2011;02:00:00;12,485
703;28/05/2011;04:00:00;12,025
704;28/05/2011;06:00:00;11,589
705;28/05/2011;08:00:00;11,297
706;28/05/2011;10:00:00;11,516
707;28/05/2011;12:00:00;11,953
708;28/05/2011;14:00:00;12,509
709;28/05/2011;16:00:00;13,233
710;28/05/2011;18:00:00;13,305
711;28/05/2011;20:00:00;13,185
712;28/05/2011;22:00:00;13,281
713;29/05/2011;00:00:00;13,329
714;29/05/2011;02:00:00;13,329
715;29/05/2011;04:00:00;13,161
716;29/05/2011;06:00:00;12,871
717;29/05/2011;08:00:00;12,558
718;29/05/2011;10:00:00;12,63
719;29/05/2011;12:00:00;13,185
720;29/05/2011;14:00:00;14,074
721;29/05/2011;16:00:00;14,745
722;29/05/2011;18:00:00;15,008
723;29/05/2011;20:00:00;15,223
724;29/05/2011;22:00:00;15,27
725;30/05/2011;00:00:00;15,27
726;30/05/2011;02:00:00;15,151
727;30/05/2011;04:00:00;14,888
728;30/05/2011;06:00:00;14,29
729;30/05/2011;08:00:00;13,762
730;30/05/2011;10:00:00;13,81
731;30/05/2011;12:00:00;13,978
732;30/05/2011;14:00:00;13,93
733;30/05/2011;16:00:00;14,625
734;30/05/2011;18:00:00;14,816
735;30/05/2011;20:00:00;14,745
736;30/05/2011;22:00:00;14,697
737;31/05/2011;00:00:00;14,457
738;31/05/2011;02:00:00;14,361
739;31/05/2011;04:00:00;14,026
740;31/05/2011;06:00:00;13,546
741;31/05/2011;08:00:00;13,209
742;31/05/2011;10:00:00;13,161
743;31/05/2011;12:00:00;13,329
744;31/05/2011;14:00:00;13,786
745;31/05/2011;16:00:00;14,29
746;31/05/2011;18:00:00;14,17
747;31/05/2011;20:00:00;13,906
748;31/05/2011;22:00:00;13,714
749;01/06/2011;00:00:00;13,69
750;01/06/2011;02:00:00;13,594
751;01/06/2011;04:00:00;13,473
752;01/06/2011;06:00:00;13,185
753;01/06/2011;08:00:00;12,703
754;01/06/2011;10:00:00;12,799
755;01/06/2011;12:00:00;13,137
756;01/06/2011;14:00:00;13,834
757;01/06/2011;16:00:00;14,385
758;01/06/2011;18:00:00;14,361
759;01/06/2011;20:00:00;14,098
760;01/06/2011;22:00:00;14,002
761;02/06/2011;00:00:00;14,074
762;02/06/2011;02:00:00;13,954
763;02/06/2011;04:00:00;13,786
764;02/06/2011;06:00:00;13,377
765;02/06/2011;08:00:00;12,968
766;02/06/2011;10:00:00;13,016
767;02/06/2011;12:00:00;13,401
768;02/06/2011;14:00:00;14,17
769;02/06/2011;16:00:00;14,673
770;02/06/2011;18:00:00;14,673
771;02/06/2011;20:00:00;14,625
772;02/06/2011;22:00:00;14,553
773;03/06/2011;00:00:00;14,625
774;03/06/2011;02:00:00;14,721
775;03/06/2011;04:00:00;14,768
776;03/06/2011;06:00:00;14,625
777;03/06/2011;08:00:00;14,409
778;03/06/2011;10:00:00;14,481
779;03/06/2011;12:00:00;14,864
780;03/06/2011;14:00:00;15,676
781;03/06/2011;16:00:00;16,225
782;03/06/2011;18:00:00;16,296
783;03/06/2011;20:00:00;16,01
784;03/06/2011;22:00:00;15,867
785;04/06/2011;00:00:00;15,819
786;04/06/2011;02:00:00;15,843
787;04/06/2011;04:00:00;15,843
788;04/06/2011;06:00:00;15,843
789;04/06/2011;08:00:00;15,796
790;04/06/2011;10:00:00;15,843
791;04/06/2011;12:00:00;16,082
792;04/06/2011;14:00:00;16,606
793;04/06/2011;16:00:00;16,939
794;04/06/2011;18:00:00;17,13
795;04/06/2011;20:00:00;17,058
796;04/06/2011;22:00:00;16,82
797;05/06/2011;00:00:00;16,511
798;05/06/2011;02:00:00;16,606
799;05/06/2011;04:00:00;16,654
800;05/06/2011;06:00:00;16,249
801;05/06/2011;08:00:00;15,963
802;05/06/2011;10:00:00;15,867
803;05/06/2011;12:00:00;15,724
804;05/06/2011;14:00:00;15,7
805;05/06/2011;16:00:00;15,629
806;05/06/2011;18:00:00;15,652
807;05/06/2011;20:00:00;15,629
808;05/06/2011;22:00:00;15,509
809;06/06/2011;00:00:00;15,366
810;06/06/2011;02:00:00;15,199
811;06/06/2011;04:00:00;15,079
812;06/06/2011;06:00:00;14,96
813;06/06/2011;08:00:00;14,888
814;06/06/2011;10:00:00;14,816
815;06/06/2011;12:00:00;14,768
816;06/06/2011;14:00:00;14,792
817;06/06/2011;16:00:00;14,936
818;06/06/2011;18:00:00;14,984
819;06/06/2011;20:00:00;14,936
820;06/06/2011;22:00:00;14,816
821;07/06/2011;00:00:00;14,625
822;07/06/2011;02:00:00;14,457
823;07/06/2011;04:00:00;14,314
824;07/06/2011;06:00:00;14,122
825;07/06/2011;08:00:00;13,978
826;07/06/2011;10:00:00;13,978
827;07/06/2011;12:00:00;14,242
828;07/06/2011;14:00:00;14,792
829;07/06/2011;16:00:00;14,96
830;07/06/2011;18:00:00;15,247
831;07/06/2011;20:00:00;15,461
832;07/06/2011;22:00:00;15,247
833;08/06/2011;00:00:00;14,864
834;08/06/2011;02:00:00;14,361
835;08/06/2011;04:00:00;13,882
836;08/06/2011;06:00:00;13,497
837;08/06/2011;08:00:00;13,233
838;08/06/2011;10:00:00;13,233
839;08/06/2011;12:00:00;13,473
840;08/06/2011;14:00:00;13,93
841;08/06/2011;16:00:00;14,577
842;08/06/2011;18:00:00;14,816
843;08/06/2011;20:00:00;14,984
844;08/06/2011;22:00:00;15,031
845;09/06/2011;00:00:00;14,864
846;09/06/2011;02:00:00;14,385
847;09/06/2011;04:00:00;13,762
848;09/06/2011;06:00:00;13,233
849;09/06/2011;08:00:00;12,992
850;09/06/2011;10:00:00;13,088
851;09/06/2011;12:00:00;13,112
852;09/06/2011;14:00:00;13,137
853;09/06/2011;16:00:00;13,618
854;09/06/2011;18:00:00;13,834
855;09/06/2011;20:00:00;14,098
856;09/06/2011;22:00:00;14,146
857;10/06/2011;00:00:00;14,05
858;10/06/2011;02:00:00;13,954
859;10/06/2011;04:00:00;13,714
860;10/06/2011;06:00:00;13,425
861;10/06/2011;08:00:00;13,281
862;10/06/2011;10:00:00;13,353
863;10/06/2011;12:00:00;13,257
864;10/06/2011;14:00:00;13,618
865;10/06/2011;16:00:00;13,978
866;10/06/2011;18:00:00;14,385
867;10/06/2011;20:00:00;14,409
868;10/06/2011;22:00:00;14,529
869;11/06/2011;00:00:00;14,361
870;11/06/2011;02:00:00;14,218
871;11/06/2011;04:00:00;13,81
872;11/06/2011;06:00:00;13,473
873;11/06/2011;08:00:00;13,209
874;11/06/2011;10:00:00;13,233
875;11/06/2011;12:00:00;13,353
876;11/06/2011;14:00:00;13,546
877;11/06/2011;16:00:00;13,594
878;11/06/2011;18:00:00;13,954
879;11/06/2011;20:00:00;14,29
880;11/06/2011;22:00:00;14,242
881;12/06/2011;00:00:00;13,954
882;12/06/2011;02:00:00;13,642
883;12/06/2011;04:00:00;13,161
884;12/06/2011;06:00:00;12,654
885;12/06/2011;08:00:00;12,413
886;12/06/2011;10:00:00;12,509
887;12/06/2011;12:00:00;12,582
888;12/06/2011;14:00:00;12,823
889;12/06/2011;16:00:00;13,185
890;12/06/2011;18:00:00;13,209
891;12/06/2011;20:00:00;13,353
892;12/06/2011;22:00:00;13,401
893;13/06/2011;00:00:00;13,522
894;13/06/2011;02:00:00;13,546
895;13/06/2011;04:00:00;13,497
896;13/06/2011;06:00:00;13,497
897;13/06/2011;08:00:00;13,522
898;13/06/2011;10:00:00;13,786
899;13/06/2011;12:00:00;14,314
900;13/06/2011;14:00:00;14,912
901;13/06/2011;16:00:00;15,247
902;13/06/2011;18:00:00;15,867
903;13/06/2011;20:00:00;15,891
904;13/06/2011;22:00:00;16,01
905;14/06/2011;00:00:00;16,058
906;14/06/2011;02:00:00;16,082
907;14/06/2011;04:00:00;15,963
908;14/06/2011;06:00:00;15,676
