Sonde 300;;;
#;Date;Heure, GMT+02:00;Temp
5;05/04/2016;16:12:39;12,461
6;05/04/2016;18:12:39;12,195
7;05/04/2016;20:12:39;11,589
8;05/04/2016;22:12:39;10,883
9;06/04/2016;00:12:39;10,247
10;06/04/2016;02:12:39;10,075
11;06/04/2016;04:12:39;9,829
12;06/04/2016;06:12:39;9,756
13;06/04/2016;08:12:39;9,731
14;06/04/2016;10:12:39;9,805
15;06/04/2016;12:12:39;10,149
16;06/04/2016;14:12:39;11,053
17;06/04/2016;16:12:39;11,589
18;06/04/2016;18:12:39;11,321
19;06/04/2016;20:12:39;10,516
20;06/04/2016;22:12:39;9,731
21;07/04/2016;00:12:39;9,163
22;07/04/2016;02:12:39;8,841
23;07/04/2016;04:12:39;8,593
24;07/04/2016;06:12:39;8,22
25;07/04/2016;08:12:39;8,245
26;07/04/2016;10:12:39;8,494
27;07/04/2016;12:12:39;9,46
28;07/04/2016;14:12:39;10,858
29;07/04/2016;16:12:39;11,346
30;07/04/2016;18:12:39;11,248
31;07/04/2016;20:12:39;10,712
32;07/04/2016;22:12:39;9,879
33;08/04/2016;00:12:39;9,435
34;08/04/2016;02:12:39;9,262
35;08/04/2016;04:12:39;9,089
36;08/04/2016;06:12:39;9,015
37;08/04/2016;08:12:39;8,99
38;08/04/2016;10:12:39;9,46
39;08/04/2016;12:12:39;10,075
40;08/04/2016;14:12:39;11,443
41;08/04/2016;16:12:39;12,243
42;08/04/2016;18:12:39;11,977
43;08/04/2016;20:12:39;11,127
44;08/04/2016;22:12:39;10,32
45;09/04/2016;00:12:39;9,928
46;09/04/2016;02:12:39;9,706
47;09/04/2016;04:12:39;9,534
48;09/04/2016;06:12:39;9,46
49;09/04/2016;08:12:39;9,336
50;09/04/2016;10:12:39;9,435
51;09/04/2016;12:12:39;9,952
52;09/04/2016;14:12:39;9,879
53;09/04/2016;16:12:39;10,443
54;09/04/2016;18:12:39;10,663
55;09/04/2016;20:12:39;9,928
56;09/04/2016;22:12:39;9,163
57;10/04/2016;00:12:39;8,693
58;10/04/2016;02:12:39;8,17
59;10/04/2016;04:12:39;7,745
60;10/04/2016;06:12:39;7,419
61;10/04/2016;08:12:39;7,368
62;10/04/2016;10:12:39;7,745
63;10/04/2016;12:12:39;8,717
64;10/04/2016;14:12:39;9,534
65;10/04/2016;16:12:39;9,952
66;10/04/2016;18:12:39;9,928
67;10/04/2016;20:12:39;9,928
68;10/04/2016;22:12:39;9,756
69;11/04/2016;00:12:39;9,657
70;11/04/2016;02:12:39;9,534
71;11/04/2016;04:12:39;9,534
72;11/04/2016;06:12:39;9,534
73;11/04/2016;08:12:39;9,41
74;11/04/2016;10:12:39;9,731
75;11/04/2016;12:12:39;10,565
76;11/04/2016;14:12:39;11,929
77;11/04/2016;16:12:39;12,799
78;11/04/2016;18:12:39;12,268
79;11/04/2016;20:12:39;11,662
80;11/04/2016;22:12:39;10,516
81;12/04/2016;00:12:39;9,583
82;12/04/2016;02:12:39;9,139
83;12/04/2016;04:12:39;8,717
84;12/04/2016;06:12:39;8,27
85;12/04/2016;08:12:39;7,945
86;12/04/2016;10:12:39;8,643
87;12/04/2016;12:12:39;10,075
88;12/04/2016;14:12:39;11,856
89;12/04/2016;16:12:39;13,04
90;12/04/2016;18:12:39;12,896
91;12/04/2016;20:12:39;12,219
92;12/04/2016;22:12:39;11,053
93;13/04/2016;00:12:39;10,516
94;13/04/2016;02:12:39;9,731
95;13/04/2016;04:12:39;9,46
96;13/04/2016;06:12:39;9,089
97;13/04/2016;08:12:39;8,717
98;13/04/2016;10:12:39;9,238
99;13/04/2016;12:12:39;10,565
100;13/04/2016;14:12:39;12,316
101;13/04/2016;16:12:39;13,305
102;13/04/2016;18:12:39;13,257
103;13/04/2016;20:12:39;12,485
104;13/04/2016;22:12:39;11,321
105;14/04/2016;00:12:39;10,394
106;14/04/2016;02:12:39;10,1
107;14/04/2016;04:12:39;9,682
108;14/04/2016;06:12:39;9,657
109;14/04/2016;08:12:39;9,41
110;14/04/2016;10:12:39;9,977
111;14/04/2016;12:12:39;11,029
112;14/04/2016;14:12:39;11,637
113;14/04/2016;16:12:39;11,759
114;14/04/2016;18:12:39;11,346
115;14/04/2016;20:12:39;10,858
116;14/04/2016;22:12:39;10,565
117;15/04/2016;00:12:39;10,418
118;15/04/2016;02:12:39;10,198
119;15/04/2016;04:12:39;10,051
120;15/04/2016;06:12:39;9,977
121;15/04/2016;08:12:39;10,001
122;15/04/2016;10:12:39;10,222
123;15/04/2016;12:12:39;10,638
124;15/04/2016;14:12:39;10,736
125;15/04/2016;16:12:39;10,907
126;15/04/2016;18:12:39;10,858
127;15/04/2016;20:12:39;10,663
128;15/04/2016;22:12:39;10,492
129;16/04/2016;00:12:39;10,149
130;16/04/2016;02:12:39;9,829
131;16/04/2016;04:12:39;9,756
132;16/04/2016;06:12:39;9,534
133;16/04/2016;08:12:39;9,262
134;16/04/2016;10:12:39;9,386
135;16/04/2016;12:12:39;10,149
136;16/04/2016;14:12:39;11,419
137;16/04/2016;16:12:39;12,219
138;16/04/2016;18:12:39;11,686
139;16/04/2016;20:12:39;10,81
140;16/04/2016;22:12:39;9,657
141;17/04/2016;00:12:39;8,643
142;17/04/2016;02:12:39;8,12
143;17/04/2016;04:12:39;7,645
144;17/04/2016;06:12:39;7,217
145;17/04/2016;08:12:39;7,015
146;17/04/2016;10:12:39;7,695
147;17/04/2016;12:12:39;9,089
148;17/04/2016;14:12:39;10,638
149;17/04/2016;16:12:39;11,419
150;17/04/2016;18:12:39;11,151
151;17/04/2016;20:12:39;10,418
152;17/04/2016;22:12:39;9,139
153;18/04/2016;00:12:39;8,095
154;18/04/2016;02:12:39;7,444
155;18/04/2016;04:12:39;7,015
156;18/04/2016;06:12:39;6,712
157;18/04/2016;08:12:39;6,585
158;18/04/2016;10:12:39;7,393
159;18/04/2016;12:12:39;8,891
160;18/04/2016;14:12:39;10,614
161;18/04/2016;16:12:39;11,759
162;18/04/2016;18:12:39;11,686
163;18/04/2016;20:12:39;10,907
164;18/04/2016;22:12:39;9,731
165;19/04/2016;00:12:39;8,792
166;19/04/2016;02:12:39;8,717
167;19/04/2016;04:12:39;8,195
168;19/04/2016;06:12:39;7,945
169;19/04/2016;08:12:39;8,295
170;19/04/2016;10:12:39;8,841
171;19/04/2016;12:12:39;10,124
172;19/04/2016;14:12:39;11,783
173;19/04/2016;16:12:39;12,751
174;19/04/2016;18:12:39;12,485
175;19/04/2016;20:12:39;11,394
