Sonde 766;;;
#;Date;Heure, GMT+02:00;Temp
3;23/08/2012;12:46:26;16,034
4;23/08/2012;14:46:26;16,463
5;23/08/2012;16:46:26;17,058
6;23/08/2012;18:46:26;17,177
7;23/08/2012;20:46:26;16,749
8;23/08/2012;22:46:26;16,463
9;24/08/2012;00:46:26;16,296
10;24/08/2012;02:46:26;16,153
11;24/08/2012;04:46:26;15,986
12;24/08/2012;06:46:26;15,796
13;24/08/2012;08:46:26;15,629
14;24/08/2012;10:46:26;15,629
15;24/08/2012;12:46:26;15,891
16;24/08/2012;14:46:26;16,153
17;24/08/2012;16:46:26;16,344
18;24/08/2012;18:46:26;16,415
19;24/08/2012;20:46:26;16,463
20;24/08/2012;22:46:26;16,392
21;25/08/2012;00:46:26;16,249
22;25/08/2012;02:46:26;16,225
23;25/08/2012;04:46:26;16,153
24;25/08/2012;06:46:26;16,01
25;25/08/2012;08:46:26;15,891
26;25/08/2012;10:46:26;15,963
27;25/08/2012;12:46:26;16,177
28;25/08/2012;14:46:26;16,439
29;25/08/2012;16:46:26;16,749
30;25/08/2012;18:46:26;16,773
31;25/08/2012;20:46:26;16,582
32;25/08/2012;22:46:26;16,344
33;26/08/2012;00:46:26;16,153
34;26/08/2012;02:46:26;15,986
35;26/08/2012;04:46:26;15,843
36;26/08/2012;06:46:26;15,7
37;26/08/2012;08:46:26;15,581
38;26/08/2012;10:46:26;15,533
39;26/08/2012;12:46:26;15,891
40;26/08/2012;14:46:26;16,439
41;26/08/2012;16:46:26;16,773
42;26/08/2012;18:46:26;16,82
43;26/08/2012;20:46:26;16,701
44;26/08/2012;22:46:26;16,534
45;27/08/2012;00:46:26;16,463
46;27/08/2012;02:46:26;16,344
47;27/08/2012;04:46:26;16,272
48;27/08/2012;06:46:26;16,201
49;27/08/2012;08:46:26;16,106
50;27/08/2012;10:46:26;16,177
51;27/08/2012;12:46:26;16,677
52;27/08/2012;14:46:26;17,391
53;27/08/2012;16:46:26;17,962
54;27/08/2012;18:46:26;18,105
55;27/08/2012;20:46:26;17,938
56;27/08/2012;22:46:26;17,724
57;28/08/2012;00:46:26;17,653
58;28/08/2012;02:46:26;17,605
59;28/08/2012;04:46:26;17,486
60;28/08/2012;06:46:26;17,344
61;28/08/2012;08:46:26;17,153
62;28/08/2012;10:46:26;17,153
63;28/08/2012;12:46:26;17,534
64;28/08/2012;14:46:26;18,105
65;28/08/2012;16:46:26;18,533
66;28/08/2012;18:46:26;18,557
67;28/08/2012;20:46:26;18,271
68;28/08/2012;22:46:26;17,891
69;29/08/2012;00:46:26;17,558
70;29/08/2012;02:46:26;17,249
71;29/08/2012;04:46:26;16,844
72;29/08/2012;06:46:26;16,511
73;29/08/2012;08:46:26;16,32
74;29/08/2012;10:46:26;16,32
75;29/08/2012;12:46:26;16,63
76;29/08/2012;14:46:26;16,987
77;29/08/2012;16:46:26;17,106
78;29/08/2012;18:46:26;16,844
79;29/08/2012;20:46:26;16,511
80;29/08/2012;22:46:26;16,296
81;30/08/2012;00:46:26;16,129
82;30/08/2012;02:46:26;15,963
83;30/08/2012;04:46:26;15,7
84;30/08/2012;06:46:26;15,509
85;30/08/2012;08:46:26;15,39
86;30/08/2012;10:46:26;15,438
87;30/08/2012;12:46:26;15,605
88;30/08/2012;14:46:26;16,01
89;30/08/2012;16:46:26;16,415
90;30/08/2012;18:46:26;16,344
91;30/08/2012;20:46:26;16,082
92;30/08/2012;22:46:26;15,748
93;31/08/2012;00:46:26;15,509
94;31/08/2012;02:46:26;15,318
95;31/08/2012;04:46:26;15,103
96;31/08/2012;06:46:26;14,816
97;31/08/2012;08:46:26;14,529
98;31/08/2012;10:46:26;14,457
