Sonde 763;;;
#;Date;Heure, GMT+02:00;Temp
17;29/06/2012;01:28:11;15,485
18;29/06/2012;03:28:11;14,649
19;29/06/2012;05:28:11;14,17
20;29/06/2012;07:28:11;13,81
21;29/06/2012;09:28:11;14,098
22;29/06/2012;11:28:11;14,936
23;29/06/2012;13:28:11;16,844
24;29/06/2012;15:28:11;17,915
25;29/06/2012;17:28:11;18,105
26;29/06/2012;19:28:11;17,201
27;29/06/2012;21:28:11;16,582
28;29/06/2012;23:28:11;15,366
29;30/06/2012;01:28:11;14,553
30;30/06/2012;03:28:11;14,242
31;30/06/2012;05:28:11;14,074
32;30/06/2012;07:28:11;13,954
33;30/06/2012;09:28:11;14,146
34;30/06/2012;11:28:11;14,721
35;30/06/2012;13:28:11;15,199
36;30/06/2012;15:28:11;15,629
37;30/06/2012;17:28:11;15,414
38;30/06/2012;19:28:11;15,509
39;30/06/2012;21:28:11;15,008
40;30/06/2012;23:28:11;14,314
41;01/07/2012;01:28:11;13,762
42;01/07/2012;03:28:11;13,305
43;01/07/2012;05:28:11;12,968
44;01/07/2012;07:28:11;12,703
45;01/07/2012;09:28:11;12,847
46;01/07/2012;11:28:11;13,882
47;01/07/2012;13:28:11;14,697
48;01/07/2012;15:28:11;14,84
49;01/07/2012;17:28:11;15,533
50;01/07/2012;19:28:11;15,414
51;01/07/2012;21:28:11;14,84
52;01/07/2012;23:28:11;14,242
53;02/07/2012;01:28:11;13,57
54;02/07/2012;03:28:11;13,209
55;02/07/2012;05:28:11;12,775
56;02/07/2012;07:28:11;12,558
57;02/07/2012;09:28:11;13,016
58;02/07/2012;11:28:11;13,618
59;02/07/2012;13:28:11;14,266
60;02/07/2012;15:28:11;15,175
61;02/07/2012;17:28:11;15,223
62;02/07/2012;19:28:11;15,151
63;02/07/2012;21:28:11;14,673
64;02/07/2012;23:28:11;14,314
65;03/07/2012;01:28:11;14,074
66;03/07/2012;03:28:11;13,954
67;03/07/2012;05:28:11;13,858
68;03/07/2012;07:28:11;13,81
69;03/07/2012;09:28:11;13,882
70;03/07/2012;11:28:11;14,194
71;03/07/2012;13:28:11;14,673
72;03/07/2012;15:28:11;15,294
73;03/07/2012;17:28:11;15,939
74;03/07/2012;19:28:11;16,249
75;03/07/2012;21:28:11;15,748
76;03/07/2012;23:28:11;15,127
77;04/07/2012;01:28:11;14,577
78;04/07/2012;03:28:11;14,29
79;04/07/2012;05:28:11;14,146
80;04/07/2012;07:28:11;14,074
81;04/07/2012;09:28:11;14,314
82;04/07/2012;11:28:11;14,673
83;04/07/2012;13:28:11;15,342
84;04/07/2012;15:28:11;16,01
85;04/07/2012;17:28:11;16,368
86;04/07/2012;19:28:11;16,32
87;04/07/2012;21:28:11;16,415
88;04/07/2012;23:28:11;15,581
89;05/07/2012;01:28:11;14,577
90;05/07/2012;03:28:11;14,074
91;05/07/2012;05:28:11;13,57
92;05/07/2012;07:28:11;13,112
93;05/07/2012;09:28:11;13,473
94;05/07/2012;11:28:11;14,266
95;05/07/2012;13:28:11;15,103
96;05/07/2012;15:28:11;16,034
97;05/07/2012;17:28:11;16,63
98;05/07/2012;19:28:11;16,392
99;05/07/2012;21:28:11;15,796
100;05/07/2012;23:28:11;14,912
101;06/07/2012;01:28:11;13,906
102;06/07/2012;03:28:11;13,642
103;06/07/2012;05:28:11;13,497
104;06/07/2012;07:28:11;13,473
105;06/07/2012;09:28:11;13,618
106;06/07/2012;11:28:11;14,457
107;06/07/2012;13:28:11;15,605
108;06/07/2012;15:28:11;16,082
109;06/07/2012;17:28:11;15,223
110;06/07/2012;19:28:11;14,553
111;06/07/2012;21:28:11;14,242
112;06/07/2012;23:28:11;13,762
113;07/07/2012;01:28:11;13,425
114;07/07/2012;03:28:11;13,257
115;07/07/2012;05:28:11;13,088
116;07/07/2012;07:28:11;13,016
117;07/07/2012;09:28:11;13,161
118;07/07/2012;11:28:11;13,834
119;07/07/2012;13:28:11;14,29
120;07/07/2012;15:28:11;14,912
121;07/07/2012;17:28:11;15,247
122;07/07/2012;19:28:11;15,366
123;07/07/2012;21:28:11;14,745
124;07/07/2012;23:28:11;14,96
125;08/07/2012;01:28:11;14,457
126;08/07/2012;03:28:11;13,93
127;08/07/2012;05:28:11;13,522
128;08/07/2012;07:28:11;13,353
129;08/07/2012;09:28:11;13,377
130;08/07/2012;11:28:11;13,522
131;08/07/2012;13:28:11;13,954
132;08/07/2012;15:28:11;14,745
133;08/07/2012;17:28:11;15,867
134;08/07/2012;19:28:11;15,509
135;08/07/2012;21:28:11;14,84
136;08/07/2012;23:28:11;14,17
137;09/07/2012;01:28:11;13,81
138;09/07/2012;03:28:11;13,522
139;09/07/2012;05:28:11;13,329
140;09/07/2012;07:28:11;13,161
141;09/07/2012;09:28:11;13,281
142;09/07/2012;11:28:11;13,978
143;09/07/2012;13:28:11;14,84
144;09/07/2012;15:28:11;15,175
145;09/07/2012;17:28:11;15,127
146;09/07/2012;19:28:11;14,912
147;09/07/2012;21:28:11;14,433
148;09/07/2012;23:28:11;13,954
149;10/07/2012;01:28:11;13,618
150;10/07/2012;03:28:11;13,353
151;10/07/2012;05:28:11;13,161
152;10/07/2012;07:28:11;12,92
153;10/07/2012;09:28:11;13,112
154;10/07/2012;11:28:11;13,81
155;10/07/2012;13:28:11;13,642
156;10/07/2012;15:28:11;14,361
157;10/07/2012;17:28:11;14,697
158;10/07/2012;19:28:11;14,505
159;10/07/2012;21:28:11;13,954
160;10/07/2012;23:28:11;13,473
161;11/07/2012;01:28:11;13,161
162;11/07/2012;03:28:11;12,823
163;11/07/2012;05:28:11;12,606
164;11/07/2012;07:28:11;12,437
165;11/07/2012;09:28:11;12,582
166;11/07/2012;11:28:11;13,185
167;11/07/2012;13:28:11;13,762
168;11/07/2012;15:28:11;14,84
169;11/07/2012;17:28:11;15,031
170;11/07/2012;19:28:11;14,409
171;11/07/2012;21:28:11;13,882
172;11/07/2012;23:28:11;13,257
173;12/07/2012;01:28:11;12,92
174;12/07/2012;03:28:11;12,703
175;12/07/2012;05:28:11;12,364
176;12/07/2012;07:28:11;12,364
177;12/07/2012;09:28:11;12,63
178;12/07/2012;11:28:11;13,185
179;12/07/2012;13:28:11;13,786
180;12/07/2012;15:28:11;14,194
181;12/07/2012;17:28:11;14,337
182;12/07/2012;19:28:11;13,978
183;12/07/2012;21:28:11;13,618
184;12/07/2012;23:28:11;13,425
185;13/07/2012;01:28:11;13,305
186;13/07/2012;03:28:11;13,353
187;13/07/2012;05:28:11;13,377
188;13/07/2012;07:28:11;13,449
189;13/07/2012;09:28:11;13,594
190;13/07/2012;11:28:11;13,978
191;13/07/2012;13:28:11;14,266
192;13/07/2012;15:28:11;14,314
193;13/07/2012;17:28:11;14,721
194;13/07/2012;19:28:11;14,17
195;13/07/2012;21:28:11;13,93
196;13/07/2012;23:28:11;13,738
197;14/07/2012;01:28:11;13,473
198;14/07/2012;03:28:11;13,257
199;14/07/2012;05:28:11;13,04
200;14/07/2012;07:28:11;12,896
201;14/07/2012;09:28:11;12,944
202;14/07/2012;11:28:11;13,401
203;14/07/2012;13:28:11;14,625
204;14/07/2012;15:28:11;15,581
205;14/07/2012;17:28:11;15,557
206;14/07/2012;19:28:11;15,031
207;14/07/2012;21:28:11;14,218
208;14/07/2012;23:28:11;13,377
209;15/07/2012;01:28:11;12,799
210;15/07/2012;03:28:11;12,654
211;15/07/2012;05:28:11;12,534
212;15/07/2012;07:28:11;12,461
213;15/07/2012;09:28:11;12,558
214;15/07/2012;11:28:11;13,04
215;15/07/2012;13:28:11;13,786
216;15/07/2012;15:28:11;14,481
217;15/07/2012;17:28:11;14,745
218;15/07/2012;19:28:11;14,553
219;15/07/2012;21:28:11;13,69
220;15/07/2012;23:28:11;12,799
221;16/07/2012;01:28:11;12,098
222;16/07/2012;03:28:11;11,686
223;16/07/2012;05:28:11;11,54
224;16/07/2012;07:28:11;11,589
225;16/07/2012;09:28:11;11,904
226;16/07/2012;11:28:11;12,799
227;16/07/2012;13:28:11;14,673
228;16/07/2012;15:28:11;15,199
229;16/07/2012;17:28:11;15,939
230;16/07/2012;19:28:11;15,581
231;16/07/2012;21:28:11;14,745
232;16/07/2012;23:28:11;14,05
233;17/07/2012;01:28:11;13,738
234;17/07/2012;03:28:11;13,546
235;17/07/2012;05:28:11;13,449
236;17/07/2012;07:28:11;13,353
237;17/07/2012;09:28:11;13,377
238;17/07/2012;11:28:11;13,618
239;17/07/2012;13:28:11;14,601
240;17/07/2012;15:28:11;15,963
241;17/07/2012;17:28:11;16,558
242;17/07/2012;19:28:11;15,819
243;17/07/2012;21:28:11;15,079
244;17/07/2012;23:28:11;14,409
245;18/07/2012;01:28:11;13,858
246;18/07/2012;03:28:11;13,738
247;18/07/2012;05:28:11;13,618
248;18/07/2012;07:28:11;13,353
249;18/07/2012;09:28:11;13,449
250;18/07/2012;11:28:11;14,002
251;18/07/2012;13:28:11;15,127
252;18/07/2012;15:28:11;15,629
253;18/07/2012;17:28:11;16,201
254;18/07/2012;19:28:11;15,819
255;18/07/2012;21:28:11;15,151
256;18/07/2012;23:28:11;14,553
257;19/07/2012;01:28:11;14,17
258;19/07/2012;03:28:11;13,738
259;19/07/2012;05:28:11;13,401
260;19/07/2012;07:28:11;13,209
261;19/07/2012;09:28:11;13,257
262;19/07/2012;11:28:11;13,473
263;19/07/2012;13:28:11;14,146
264;19/07/2012;15:28:11;15,008
265;19/07/2012;17:28:11;15,318
266;19/07/2012;19:28:11;15,031
267;19/07/2012;21:28:11;14,337
268;19/07/2012;23:28:11;13,666
269;20/07/2012;01:28:11;13,209
270;20/07/2012;03:28:11;12,896
271;20/07/2012;05:28:11;12,823
272;20/07/2012;07:28:11;12,751
273;20/07/2012;09:28:11;12,92
274;20/07/2012;11:28:11;13,449
275;20/07/2012;13:28:11;14,242
276;20/07/2012;15:28:11;14,577
277;20/07/2012;17:28:11;14,984
278;20/07/2012;19:28:11;15,031
279;20/07/2012;21:28:11;14,314
280;20/07/2012;23:28:11;13,329
281;21/07/2012;01:28:11;12,509
282;21/07/2012;03:28:11;12,074
283;21/07/2012;05:28:11;11,977
284;21/07/2012;07:28:11;11,807
285;21/07/2012;09:28:11;12,122
286;21/07/2012;11:28:11;13,546
287;21/07/2012;13:28:11;15,175
288;21/07/2012;15:28:11;15,867
289;21/07/2012;17:28:11;15,629
290;21/07/2012;19:28:11;15,533
291;21/07/2012;21:28:11;14,625
292;21/07/2012;23:28:11;13,642
293;22/07/2012;01:28:11;12,847
294;22/07/2012;03:28:11;12,268
295;22/07/2012;05:28:11;11,807
296;22/07/2012;07:28:11;11,516
297;22/07/2012;09:28:11;12,025
298;22/07/2012;11:28:11;13,449
299;22/07/2012;13:28:11;15,223
300;22/07/2012;15:28:11;16,034
301;22/07/2012;17:28:11;16,558
302;22/07/2012;19:28:11;16,225
303;22/07/2012;21:28:11;15,342
304;22/07/2012;23:28:11;14,314
305;23/07/2012;01:28:11;13,522
306;23/07/2012;03:28:11;12,968
307;23/07/2012;05:28:11;12,534
308;23/07/2012;07:28:11;12,195
309;23/07/2012;09:28:11;12,606
310;23/07/2012;11:28:11;14,05
311;23/07/2012;13:28:11;15,796
312;23/07/2012;15:28:11;17,106
313;23/07/2012;17:28:11;17,439
314;23/07/2012;19:28:11;16,963
315;23/07/2012;21:28:11;15,963
316;23/07/2012;23:28:11;14,816
317;24/07/2012;01:28:11;13,954
318;24/07/2012;03:28:11;13,305
319;24/07/2012;05:28:11;12,775
320;24/07/2012;07:28:11;12,34
321;24/07/2012;09:28:11;12,727
322;24/07/2012;11:28:11;14,266
323;24/07/2012;13:28:11;16,129
324;24/07/2012;15:28:11;17,51
325;24/07/2012;17:28:11;17,891
326;24/07/2012;19:28:11;17,463
327;24/07/2012;21:28:11;16,439
328;24/07/2012;23:28:11;15,27
329;25/07/2012;01:28:11;14,385
330;25/07/2012;03:28:11;13,81
331;25/07/2012;05:28:11;13,329
332;25/07/2012;07:28:11;12,992
333;25/07/2012;09:28:11;13,353
334;25/07/2012;11:28:11;14,864
335;25/07/2012;13:28:11;16,749
336;25/07/2012;15:28:11;18,033
337;25/07/2012;17:28:11;18,247
338;25/07/2012;19:28:11;17,938
339;25/07/2012;21:28:11;16,987
340;25/07/2012;23:28:11;15,772
341;26/07/2012;01:28:11;14,864
342;26/07/2012;03:28:11;14,218
343;26/07/2012;05:28:11;13,834
344;26/07/2012;07:28:11;13,666
345;26/07/2012;09:28:11;14,098
346;26/07/2012;11:28:11;15,676
347;26/07/2012;13:28:11;17,463
348;26/07/2012;15:28:11;18,889
349;26/07/2012;17:28:11;19,365
350;26/07/2012;19:28:11;18,866
351;26/07/2012;21:28:11;17,772
352;26/07/2012;23:28:11;16,725
353;27/07/2012;01:28:11;16,058
354;27/07/2012;03:28:11;15,629
355;27/07/2012;05:28:11;15,318
356;27/07/2012;07:28:11;15,175
357;27/07/2012;09:28:11;15,199
358;27/07/2012;11:28:11;16,153
359;27/07/2012;13:28:11;17,748
360;27/07/2012;15:28:11;18,247
361;27/07/2012;17:28:11;17,701
362;27/07/2012;19:28:11;16,796
363;27/07/2012;21:28:11;16,201
364;27/07/2012;23:28:11;15,796
365;28/07/2012;01:28:11;15,414
366;28/07/2012;03:28:11;14,96
367;28/07/2012;05:28:11;14,529
368;28/07/2012;07:28:11;14,146
369;28/07/2012;09:28:11;14,074
370;28/07/2012;11:28:11;14,745
371;28/07/2012;13:28:11;15,7
372;28/07/2012;15:28:11;16,749
373;28/07/2012;17:28:11;16,773
374;28/07/2012;19:28:11;16,201
375;28/07/2012;21:28:11;15,127
376;28/07/2012;23:28:11;14,218
377;29/07/2012;01:28:11;13,425
378;29/07/2012;03:28:11;12,847
379;29/07/2012;05:28:11;12,509
380;29/07/2012;07:28:11;12,243
381;29/07/2012;09:28:11;12,485
382;29/07/2012;11:28:11;13,112
383;29/07/2012;13:28:11;14,337
384;29/07/2012;15:28:11;14,984
385;29/07/2012;17:28:11;14,721
386;29/07/2012;19:28:11;14,697
387;29/07/2012;21:28:11;14,218
388;29/07/2012;23:28:11;13,473
389;30/07/2012;01:28:11;12,823
390;30/07/2012;03:28:11;12,364
391;30/07/2012;05:28:11;11,977
392;30/07/2012;07:28:11;11,88
393;30/07/2012;09:28:11;12,147
394;30/07/2012;11:28:11;13,161
395;30/07/2012;13:28:11;14,649
396;30/07/2012;15:28:11;15,342
397;30/07/2012;17:28:11;15,819
398;30/07/2012;19:28:11;15,533
399;30/07/2012;21:28:11;14,721
400;30/07/2012;23:28:11;13,954
401;31/07/2012;01:28:11;13,497
402;31/07/2012;03:28:11;13,281
403;31/07/2012;05:28:11;13,161
404;31/07/2012;07:28:11;13,064
405;31/07/2012;09:28:11;13,257
406;31/07/2012;11:28:11;13,954
407;31/07/2012;13:28:11;15,008
408;31/07/2012;15:28:11;16,344
409;31/07/2012;17:28:11;17,106
410;31/07/2012;19:28:11;16,654
411;31/07/2012;21:28:11;15,915
412;31/07/2012;23:28:11;14,984
413;01/08/2012;01:28:11;14,242
414;01/08/2012;03:28:11;13,81
415;01/08/2012;05:28:11;13,377
416;01/08/2012;07:28:11;13,233
417;01/08/2012;09:28:11;13,497
418;01/08/2012;11:28:11;14,146
419;01/08/2012;13:28:11;15,031
420;01/08/2012;15:28:11;16,32
421;01/08/2012;17:28:11;16,987
422;01/08/2012;19:28:11;16,534
423;01/08/2012;21:28:11;16,01
424;01/08/2012;23:28:11;15,605
425;02/08/2012;01:28:11;15,055
426;02/08/2012;03:28:11;14,673
427;02/08/2012;05:28:11;14,361
428;02/08/2012;07:28:11;14,122
429;02/08/2012;09:28:11;14,002
430;02/08/2012;11:28:11;14,816
431;02/08/2012;13:28:11;15,342
432;02/08/2012;15:28:11;15,629
433;02/08/2012;17:28:11;16,392
434;02/08/2012;19:28:11;16,106
435;02/08/2012;21:28:11;15,533
436;02/08/2012;23:28:11;14,984
437;03/08/2012;01:28:11;14,601
438;03/08/2012;03:28:11;14,218
439;03/08/2012;05:28:11;14,002
440;03/08/2012;07:28:11;13,93
441;03/08/2012;09:28:11;14,026
442;03/08/2012;11:28:11;14,505
443;03/08/2012;13:28:11;15,485
444;03/08/2012;15:28:11;16,082
445;03/08/2012;17:28:11;16,439
446;03/08/2012;19:28:11;16,225
447;03/08/2012;21:28:11;15,652
448;03/08/2012;23:28:11;15,031
449;04/08/2012;01:28:11;14,553
450;04/08/2012;03:28:11;14,361
451;04/08/2012;05:28:11;14,242
452;04/08/2012;07:28:11;14,098
453;04/08/2012;09:28:11;14,146
454;04/08/2012;11:28:11;14,481
455;04/08/2012;13:28:11;15,103
456;04/08/2012;15:28:11;15,891
457;04/08/2012;17:28:11;15,915
458;04/08/2012;19:28:11;15,748
459;04/08/2012;21:28:11;15,247
460;04/08/2012;23:28:11;14,768
461;05/08/2012;01:28:11;14,242
462;05/08/2012;03:28:11;14,002
463;05/08/2012;05:28:11;13,858
464;05/08/2012;07:28:11;13,738
465;05/08/2012;09:28:11;13,882
