Sonde 822;;;
#;Date;Heure, GMT+02:00;Temp
997;21/06/2011;16:00:00;16,773
998;21/06/2011;18:00:00;16,82
999;21/06/2011;20:00:00;16,606
1000;21/06/2011;22:00:00;16,701
1001;22/06/2011;00:00:00;16,844
1002;22/06/2011;02:00:00;16,963
1003;22/06/2011;04:00:00;16,939
1004;22/06/2011;06:00:00;16,939
1005;22/06/2011;08:00:00;16,892
1006;22/06/2011;10:00:00;16,915
1007;22/06/2011;12:00:00;16,963
1008;22/06/2011;14:00:00;16,892
1009;22/06/2011;16:00:00;16,939
1010;22/06/2011;18:00:00;16,868
1011;22/06/2011;20:00:00;16,654
1012;22/06/2011;22:00:00;16,558
1013;23/06/2011;00:00:00;16,725
1014;23/06/2011;02:00:00;16,796
1015;23/06/2011;04:00:00;16,749
1016;23/06/2011;06:00:00;16,677
1017;23/06/2011;08:00:00;16,701
1018;23/06/2011;10:00:00;16,773
1019;23/06/2011;12:00:00;16,749
1020;23/06/2011;14:00:00;16,844
1021;23/06/2011;16:00:00;16,749
1022;23/06/2011;18:00:00;16,606
1023;23/06/2011;20:00:00;16,368
1024;23/06/2011;22:00:00;16,129
1025;24/06/2011;00:00:00;16,225
1026;24/06/2011;02:00:00;16,344
1027;24/06/2011;04:00:00;16,368
1028;24/06/2011;06:00:00;16,368
1029;24/06/2011;08:00:00;16,415
1030;24/06/2011;10:00:00;16,558
1031;24/06/2011;12:00:00;16,701
1032;24/06/2011;14:00:00;16,963
1033;24/06/2011;16:00:00;16,987
1034;24/06/2011;18:00:00;17,058
1035;24/06/2011;20:00:00;17,106
1036;24/06/2011;22:00:00;17,058
1037;25/06/2011;00:00:00;16,987
1038;25/06/2011;02:00:00;16,915
1039;25/06/2011;04:00:00;17,034
1040;25/06/2011;06:00:00;17,177
1041;25/06/2011;08:00:00;17,201
1042;25/06/2011;10:00:00;17,225
1043;25/06/2011;12:00:00;17,296
1044;25/06/2011;14:00:00;17,344
1045;25/06/2011;16:00:00;17,605
1046;25/06/2011;18:00:00;17,534
1047;25/06/2011;20:00:00;17,463
1048;25/06/2011;22:00:00;17,368
1049;26/06/2011;00:00:00;17,32
1050;26/06/2011;02:00:00;17,296
1051;26/06/2011;04:00:00;17,296
1052;26/06/2011;06:00:00;17,439
1053;26/06/2011;08:00:00;17,796
1054;26/06/2011;10:00:00;18,152
1055;26/06/2011;12:00:00;18,557
1056;26/06/2011;14:00:00;19,032
1057;26/06/2011;16:00:00;19,294
1058;26/06/2011;18:00:00;19,127
1059;26/06/2011;20:00:00;18,723
1060;26/06/2011;22:00:00;18,485
1061;27/06/2011;00:00:00;18,652
1062;27/06/2011;02:00:00;18,913
1063;27/06/2011;04:00:00;19,103
1064;27/06/2011;06:00:00;18,842
1065;27/06/2011;08:00:00;18,985
1066;27/06/2011;10:00:00;19,27
1067;27/06/2011;12:00:00;18,747
1068;27/06/2011;14:00:00;18,604
1069;27/06/2011;16:00:00;18,485
1070;27/06/2011;18:00:00;18,818
1071;27/06/2011;20:00:00;18,747
1072;27/06/2011;22:00:00;18,533
1073;28/06/2011;00:00:00;18,366
1074;28/06/2011;02:00:00;18,033
