Sonde 820;;;
#;Date;Heure, GMT+02:00;Temp
304;21/06/2011;15:19:43;17,011
305;21/06/2011;17:19:43;17,106
306;21/06/2011;19:19:43;16,963
307;21/06/2011;21:19:43;16,606
308;21/06/2011;23:19:43;16,558
309;22/06/2011;01:19:43;16,606
310;22/06/2011;03:19:43;16,701
311;22/06/2011;05:19:43;16,725
312;22/06/2011;07:19:43;16,725
313;22/06/2011;09:19:43;16,773
314;22/06/2011;11:19:43;17,011
315;22/06/2011;13:19:43;17,225
316;22/06/2011;15:19:43;17,153
317;22/06/2011;17:19:43;16,963
318;22/06/2011;19:19:43;16,796
319;22/06/2011;21:19:43;16,558
320;22/06/2011;23:19:43;16,439
321;23/06/2011;01:19:43;16,534
322;23/06/2011;03:19:43;16,558
323;23/06/2011;05:19:43;16,487
324;23/06/2011;07:19:43;16,439
325;23/06/2011;09:19:43;16,582
326;23/06/2011;11:19:43;16,915
327;23/06/2011;13:19:43;16,987
328;23/06/2011;15:19:43;17,439
329;23/06/2011;17:19:43;17,272
330;23/06/2011;19:19:43;16,773
331;23/06/2011;21:19:43;16,272
332;23/06/2011;23:19:43;15,939
333;24/06/2011;01:19:43;15,963
334;24/06/2011;03:19:43;16,058
335;24/06/2011;05:19:43;16,129
336;24/06/2011;07:19:43;16,153
337;24/06/2011;09:19:43;16,296
338;24/06/2011;11:19:43;16,915
339;24/06/2011;13:19:43;17,201
340;24/06/2011;15:19:43;17,629
341;24/06/2011;17:19:43;17,724
342;24/06/2011;19:19:43;17,534
343;24/06/2011;21:19:43;17,177
344;24/06/2011;23:19:43;16,892
345;25/06/2011;01:19:43;16,773
346;25/06/2011;03:19:43;16,701
347;25/06/2011;05:19:43;16,677
348;25/06/2011;07:19:43;16,844
349;25/06/2011;09:19:43;17,058
350;25/06/2011;11:19:43;17,344
351;25/06/2011;13:19:43;17,653
352;25/06/2011;15:19:43;18,2
353;25/06/2011;17:19:43;18,937
354;25/06/2011;19:19:43;18,343
355;25/06/2011;21:19:43;17,796
356;25/06/2011;23:19:43;17,32
357;26/06/2011;01:19:43;17,13
358;26/06/2011;03:19:43;17,011
359;26/06/2011;05:19:43;16,963
360;26/06/2011;07:19:43;17,034
361;26/06/2011;09:19:43;17,677
362;26/06/2011;11:19:43;18,913
363;26/06/2011;13:19:43;19,96
364;26/06/2011;15:19:43;20,674
365;26/06/2011;17:19:43;20,793
366;26/06/2011;19:19:43;20,055
367;26/06/2011;21:19:43;19,199
368;26/06/2011;23:19:43;18,509
369;27/06/2011;01:19:43;18,485
