Sonde 108;;;
#;Date;Heure, GMT+01:00;Temp
1348;18/04/2012;01:00:00;10,81
1349;18/04/2012;03:00:00;10,418
1350;18/04/2012;05:00:00;10,001
1351;18/04/2012;07:00:00;9,485
1352;18/04/2012;09:00:00;9,361
1353;18/04/2012;11:00:00;9,682
1354;18/04/2012;13:00:00;10,026
1355;18/04/2012;15:00:00;10,614
1356;18/04/2012;17:00:00;11,029
1357;18/04/2012;19:00:00;11,273
1358;18/04/2012;21:00:00;11,346
1359;18/04/2012;23:00:00;11,151
1360;19/04/2012;01:00:00;10,883
1361;19/04/2012;03:00:00;10,565
1362;19/04/2012;05:00:00;10,149
1363;19/04/2012;07:00:00;9,756
1364;19/04/2012;09:00:00;9,632
1365;19/04/2012;11:00:00;9,928
1366;19/04/2012;13:00:00;10,565
1367;19/04/2012;15:00:00;11,637
1368;19/04/2012;17:00:00;12,292
1369;19/04/2012;19:00:00;11,175
1370;19/04/2012;21:00:00;10,443
1371;19/04/2012;23:00:00;11,565
1372;20/04/2012;01:00:00;11,662
1373;20/04/2012;03:00:00;11,492
1374;20/04/2012;05:00:00;11,346
1375;20/04/2012;07:00:00;11,005
1376;20/04/2012;09:00:00;10,883
1377;20/04/2012;11:00:00;11,151
1378;20/04/2012;13:00:00;11,88
1379;20/04/2012;15:00:00;12,751
1380;20/04/2012;17:00:00;13,04
1381;20/04/2012;19:00:00;12,896
1382;20/04/2012;21:00:00;12,775
1383;20/04/2012;23:00:00;12,534
1384;21/04/2012;01:00:00;12,219
1385;21/04/2012;03:00:00;11,832
1386;21/04/2012;05:00:00;11,419
1387;21/04/2012;07:00:00;10,956
1388;21/04/2012;09:00:00;10,638
1389;21/04/2012;11:00:00;10,516
1390;21/04/2012;13:00:00;11,053
1391;21/04/2012;15:00:00;11,904
1392;21/04/2012;17:00:00;12,63
1393;21/04/2012;19:00:00;12,799
1394;21/04/2012;21:00:00;12,606
1395;21/04/2012;23:00:00;12,413
1396;22/04/2012;01:00:00;12,05
1397;22/04/2012;03:00:00;11,637
1398;22/04/2012;05:00:00;11,2
1399;22/04/2012;07:00:00;10,712
1400;22/04/2012;09:00:00;10,418
1401;22/04/2012;11:00:00;10,565
1402;22/04/2012;13:00:00;11,151
1403;22/04/2012;15:00:00;11,807
1404;22/04/2012;17:00:00;12,268
1405;22/04/2012;19:00:00;12,413
1406;22/04/2012;21:00:00;12,413
1407;22/04/2012;23:00:00;12,147
1408;23/04/2012;01:00:00;11,807
1409;23/04/2012;03:00:00;11,321
1410;23/04/2012;05:00:00;10,883
1411;23/04/2012;07:00:00;10,443
1412;23/04/2012;09:00:00;10,149
1413;23/04/2012;11:00:00;10,1
1414;23/04/2012;13:00:00;10,614
1415;23/04/2012;15:00:00;11,224
1416;23/04/2012;17:00:00;11,759
1417;23/04/2012;19:00:00;12,098
1418;23/04/2012;21:00:00;12,122
1419;23/04/2012;23:00:00;11,856
1420;24/04/2012;01:00:00;11,467
1421;24/04/2012;03:00:00;11,078
1422;24/04/2012;05:00:00;10,761
1423;24/04/2012;07:00:00;10,541
1424;24/04/2012;09:00:00;10,369
1425;24/04/2012;11:00:00;10,443
1426;24/04/2012;13:00:00;10,834
1427;24/04/2012;15:00:00;11,54
1428;24/04/2012;17:00:00;12,268
1429;24/04/2012;19:00:00;12,799
1430;24/04/2012;21:00:00;13,088
1431;24/04/2012;23:00:00;13,016
1432;25/04/2012;01:00:00;12,799
1433;25/04/2012;03:00:00;12,413
1434;25/04/2012;05:00:00;11,953
1435;25/04/2012;07:00:00;11,443
1436;25/04/2012;09:00:00;11,053
1437;25/04/2012;11:00:00;10,907
1438;25/04/2012;13:00:00;11,248
1439;25/04/2012;15:00:00;11,783
1440;25/04/2012;17:00:00;12,292
1441;25/04/2012;19:00:00;12,678
1442;25/04/2012;21:00:00;12,751
1443;25/04/2012;23:00:00;12,558
1444;26/04/2012;01:00:00;12,219
1445;26/04/2012;03:00:00;11,759
1446;26/04/2012;05:00:00;11,321
1447;26/04/2012;07:00:00;10,907
1448;26/04/2012;09:00:00;10,712
1449;26/04/2012;11:00:00;10,858
1450;26/04/2012;13:00:00;11,346
1451;26/04/2012;15:00:00;12,171
1452;26/04/2012;17:00:00;12,944
1453;26/04/2012;19:00:00;13,666
1454;26/04/2012;21:00:00;13,978
1455;26/04/2012;23:00:00;13,978
1456;27/04/2012;01:00:00;13,762
1457;27/04/2012;03:00:00;13,401
1458;27/04/2012;05:00:00;12,92
1459;27/04/2012;07:00:00;12,389
1460;27/04/2012;09:00:00;12,001
1461;27/04/2012;11:00:00;12,025
1462;27/04/2012;13:00:00;12,437
1463;27/04/2012;15:00:00;12,968
1464;27/04/2012;17:00:00;13,522
1465;27/04/2012;19:00:00;13,762
1466;27/04/2012;21:00:00;14,002
1467;27/04/2012;23:00:00;14,002
1468;28/04/2012;01:00:00;13,81
1469;28/04/2012;03:00:00;13,786
1470;28/04/2012;05:00:00;13,666
1471;28/04/2012;07:00:00;13,377
1472;28/04/2012;09:00:00;13,088
1473;28/04/2012;11:00:00;12,847
1474;28/04/2012;13:00:00;12,654
1475;28/04/2012;15:00:00;12,534
1476;28/04/2012;17:00:00;12,34
1477;28/04/2012;19:00:00;12,147
1478;28/04/2012;21:00:00;11,904
1479;28/04/2012;23:00:00;11,613
1480;29/04/2012;01:00:00;11,37
1481;29/04/2012;03:00:00;11,053
1482;29/04/2012;05:00:00;10,834
1483;29/04/2012;07:00:00;10,687
1484;29/04/2012;09:00:00;10,638
1485;29/04/2012;11:00:00;10,687
1486;29/04/2012;13:00:00;10,81
1487;29/04/2012;15:00:00;11,029
1488;29/04/2012;17:00:00;11,224
1489;29/04/2012;19:00:00;11,297
1490;29/04/2012;21:00:00;11,273
1491;29/04/2012;23:00:00;11,151
1492;30/04/2012;01:00:00;10,956
1493;30/04/2012;03:00:00;10,761
1494;30/04/2012;05:00:00;10,516
1495;30/04/2012;07:00:00;10,296
1496;30/04/2012;09:00:00;10,124
1497;30/04/2012;11:00:00;10,124
1498;30/04/2012;13:00:00;10,467
1499;30/04/2012;15:00:00;11,029
1500;30/04/2012;17:00:00;11,662
1501;30/04/2012;19:00:00;12,147
1502;30/04/2012;21:00:00;12,485
1503;30/04/2012;23:00:00;12,727
1504;01/05/2012;01:00:00;12,775
1505;01/05/2012;03:00:00;12,678
1506;01/05/2012;05:00:00;12,461
1507;01/05/2012;07:00:00;12,195
1508;01/05/2012;09:00:00;11,953
1509;01/05/2012;11:00:00;11,977
1510;01/05/2012;13:00:00;12,268
1511;01/05/2012;15:00:00;12,751
1512;01/05/2012;17:00:00;13,353
1513;01/05/2012;19:00:00;13,858
1514;01/05/2012;21:00:00;14,242
1515;01/05/2012;23:00:00;14,409
1516;02/05/2012;01:00:00;14,337
1517;02/05/2012;03:00:00;13,906
1518;02/05/2012;05:00:00;13,377
1519;02/05/2012;07:00:00;12,847
1520;02/05/2012;09:00:00;12,437
1521;02/05/2012;11:00:00;12,364
1522;02/05/2012;13:00:00;12,654
1523;02/05/2012;15:00:00;13,088
1524;02/05/2012;17:00:00;13,522
1525;02/05/2012;19:00:00;13,858
1526;02/05/2012;21:00:00;14,074
1527;02/05/2012;23:00:00;14,194
1528;03/05/2012;01:00:00;14,122
1529;03/05/2012;03:00:00;13,954
1530;03/05/2012;05:00:00;13,69
1531;03/05/2012;07:00:00;13,401
1532;03/05/2012;09:00:00;13,161
1533;03/05/2012;11:00:00;13,161
1534;03/05/2012;13:00:00;13,473
1535;03/05/2012;15:00:00;14,074
1536;03/05/2012;17:00:00;14,84
1537;03/05/2012;19:00:00;15,438
1538;03/05/2012;21:00:00;15,652
1539;03/05/2012;23:00:00;15,629
1540;04/05/2012;01:00:00;15,485
