Sonde 105;;;
#;Date;Heure, GMT+01:00;Temp
13;08/03/2012;16:36:03;7,217
14;08/03/2012;18:36:03;7,293
15;08/03/2012;20:36:03;7,091
16;08/03/2012;22:36:03;6,788
17;09/03/2012;00:36:03;6,433
18;09/03/2012;02:36:03;6,077
19;09/03/2012;04:36:03;5,77
20;09/03/2012;06:36:03;5,462
21;09/03/2012;08:36:03;5,154
22;09/03/2012;10:36:03;5,411
23;09/03/2012;12:36:03;6,051
24;09/03/2012;14:36:03;6,535
25;09/03/2012;16:36:03;7,015
26;09/03/2012;18:36:03;7,116
27;09/03/2012;20:36:03;7,192
28;09/03/2012;22:36:03;7,393
29;10/03/2012;00:36:03;7,519
30;10/03/2012;02:36:03;7,544
31;10/03/2012;04:36:03;7,544
32;10/03/2012;06:36:03;7,519
33;10/03/2012;08:36:03;7,519
34;10/03/2012;10:36:03;7,745
35;10/03/2012;12:36:03;8,195
36;10/03/2012;14:36:03;8,444
37;10/03/2012;16:36:03;8,693
38;10/03/2012;18:36:03;8,742
39;10/03/2012;20:36:03;8,693
40;10/03/2012;22:36:03;8,693
41;11/03/2012;00:36:03;8,668
42;11/03/2012;02:36:03;8,643
43;11/03/2012;04:36:03;8,618
44;11/03/2012;06:36:03;8,568
45;11/03/2012;08:36:03;8,519
46;11/03/2012;10:36:03;8,593
47;11/03/2012;12:36:03;8,866
48;11/03/2012;14:36:03;9,287
49;11/03/2012;16:36:03;9,558
50;11/03/2012;18:36:03;9,682
51;11/03/2012;20:36:03;9,435
52;11/03/2012;22:36:03;9,04
53;12/03/2012;00:36:03;8,742
54;12/03/2012;02:36:03;8,419
55;12/03/2012;04:36:03;8,12
56;12/03/2012;06:36:03;7,77
57;12/03/2012;08:36:03;7,393
58;12/03/2012;10:36:03;7,494
59;12/03/2012;12:36:03;8,245
60;12/03/2012;14:36:03;8,891
61;12/03/2012;16:36:03;9,78
62;12/03/2012;18:36:03;9,952
63;12/03/2012;20:36:03;9,706
64;12/03/2012;22:36:03;9,336
65;13/03/2012;00:36:03;8,99
66;13/03/2012;02:36:03;8,693
67;13/03/2012;04:36:03;8,394
68;13/03/2012;06:36:03;8,145
69;13/03/2012;08:36:03;7,945
70;13/03/2012;10:36:03;7,92
71;13/03/2012;12:36:03;8,045
72;13/03/2012;14:36:03;8,245
73;13/03/2012;16:36:03;8,419
74;13/03/2012;18:36:03;8,469
75;13/03/2012;20:36:03;8,444
76;13/03/2012;22:36:03;8,145
77;14/03/2012;00:36:03;7,845
78;14/03/2012;02:36:03;7,82
79;14/03/2012;04:36:03;7,795
80;14/03/2012;06:36:03;7,77
81;14/03/2012;08:36:03;7,695
82;14/03/2012;10:36:03;7,82
83;14/03/2012;12:36:03;8,394
84;14/03/2012;14:36:03;9,04
85;14/03/2012;16:36:03;9,928
86;14/03/2012;18:36:03;10,124
87;14/03/2012;20:36:03;9,879
88;14/03/2012;22:36:03;9,386
89;15/03/2012;00:36:03;8,941
90;15/03/2012;02:36:03;8,469
91;15/03/2012;04:36:03;7,92
92;15/03/2012;06:36:03;7,444
93;15/03/2012;08:36:03;7,091
94;15/03/2012;10:36:03;7,419
95;15/03/2012;12:36:03;8,344
96;15/03/2012;14:36:03;9,163
97;15/03/2012;16:36:03;10,32
98;15/03/2012;18:36:03;10,541
99;15/03/2012;20:36:03;10,32
100;15/03/2012;22:36:03;10,1
101;16/03/2012;00:36:03;10,026
102;16/03/2012;02:36:03;9,879
103;16/03/2012;04:36:03;9,682
104;16/03/2012;06:36:03;9,435
105;16/03/2012;08:36:03;9,238
106;16/03/2012;10:36:03;9,312
107;16/03/2012;12:36:03;9,879
108;16/03/2012;14:36:03;10,443
109;16/03/2012;16:36:03;11,248
110;16/03/2012;18:36:03;11,297
111;16/03/2012;20:36:03;10,883
112;16/03/2012;22:36:03;10,443
113;17/03/2012;00:36:03;10,124
114;17/03/2012;02:36:03;9,928
115;17/03/2012;04:36:03;9,756
116;17/03/2012;06:36:03;9,583
117;17/03/2012;08:36:03;9,435
118;17/03/2012;10:36:03;9,386
119;17/03/2012;12:36:03;9,682
120;17/03/2012;14:36:03;9,706
121;17/03/2012;16:36:03;9,78
122;17/03/2012;18:36:03;9,608
