Sonde 771;;;
#;Date;Heure, GMT+02:00;Temp
4;29/08/2012;15:13:18;15,867
5;29/08/2012;17:13:18;15,7
6;29/08/2012;19:13:18;14,888
7;29/08/2012;21:13:18;14,553
8;29/08/2012;23:13:18;14,074
9;30/08/2012;01:13:18;13,666
10;30/08/2012;03:13:18;13,209
11;30/08/2012;05:13:18;12,944
12;30/08/2012;07:13:18;12,896
13;30/08/2012;09:13:18;13,185
14;30/08/2012;11:13:18;13,786
15;30/08/2012;13:13:18;15,103
16;30/08/2012;15:13:18;15,676
17;30/08/2012;17:13:18;15,438
18;30/08/2012;19:13:18;14,745
19;30/08/2012;21:13:18;14,218
20;30/08/2012;23:13:18;13,69
21;31/08/2012;01:13:18;13,449
22;31/08/2012;03:13:18;13,185
23;31/08/2012;05:13:18;12,751
24;31/08/2012;07:13:18;12,243
25;31/08/2012;09:13:18;11,977
26;31/08/2012;11:13:18;12,509
27;31/08/2012;13:13:18;13,449
28;31/08/2012;15:13:18;13,954
29;31/08/2012;17:13:18;14,074
30;31/08/2012;19:13:18;13,088
31;31/08/2012;21:13:18;12,461
32;31/08/2012;23:13:18;12,074
33;01/09/2012;01:13:18;11,904
34;01/09/2012;03:13:18;11,783
35;01/09/2012;05:13:18;11,734
36;01/09/2012;07:13:18;11,71
37;01/09/2012;09:13:18;11,783
38;01/09/2012;11:13:18;12,074
39;01/09/2012;13:13:18;12,558
40;01/09/2012;15:13:18;12,847
41;01/09/2012;17:13:18;12,968
42;01/09/2012;19:13:18;13,088
43;01/09/2012;21:13:18;13,137
44;01/09/2012;23:13:18;12,968
45;02/09/2012;01:13:18;12,799
46;02/09/2012;03:13:18;12,534
47;02/09/2012;05:13:18;12,582
48;02/09/2012;07:13:18;12,606
49;02/09/2012;09:13:18;12,703
50;02/09/2012;11:13:18;13,377
51;02/09/2012;13:13:18;14,577
52;02/09/2012;15:13:18;14,577
53;02/09/2012;17:13:18;14,96
54;02/09/2012;19:13:18;14,625
55;02/09/2012;21:13:18;14,242
56;02/09/2012;23:13:18;13,762
57;03/09/2012;01:13:18;13,449
58;03/09/2012;03:13:18;13,377
59;03/09/2012;05:13:18;13,353
60;03/09/2012;07:13:18;13,329
61;03/09/2012;09:13:18;13,497
62;03/09/2012;11:13:18;14,074
63;03/09/2012;13:13:18;14,553
64;03/09/2012;15:13:18;15,294
65;03/09/2012;17:13:18;15,915
66;03/09/2012;19:13:18;15,676
67;03/09/2012;21:13:18;14,792
68;03/09/2012;23:13:18;14,697
69;04/09/2012;01:13:18;14,625
70;04/09/2012;03:13:18;14,529
71;04/09/2012;05:13:18;14,481
72;04/09/2012;07:13:18;14,433
73;04/09/2012;09:13:18;14,409
74;04/09/2012;11:13:18;14,745
75;04/09/2012;13:13:18;16,034
76;04/09/2012;15:13:18;16,915
77;04/09/2012;17:13:18;17,082
78;04/09/2012;19:13:18;16,392
79;04/09/2012;21:13:18;15,461
80;04/09/2012;23:13:18;15,199
81;05/09/2012;01:13:18;15,055
82;05/09/2012;03:13:18;14,96
83;05/09/2012;05:13:18;14,912
84;05/09/2012;07:13:18;14,888
85;05/09/2012;09:13:18;14,936
86;05/09/2012;11:13:18;15,055
87;05/09/2012;13:13:18;15,079
88;05/09/2012;15:13:18;16,082
89;05/09/2012;17:13:18;16,511
90;05/09/2012;19:13:18;15,724
91;05/09/2012;21:13:18;14,864
92;05/09/2012;23:13:18;14,146
93;06/09/2012;01:13:18;13,522
94;06/09/2012;03:13:18;12,896
95;06/09/2012;05:13:18;12,243
96;06/09/2012;07:13:18;11,613
97;06/09/2012;09:13:18;11,248
98;06/09/2012;11:13:18;12,074
99;06/09/2012;13:13:18;13,329
100;06/09/2012;15:13:18;14,481
101;06/09/2012;17:13:18;14,792
102;06/09/2012;19:13:18;14,194
103;06/09/2012;21:13:18;13,401
104;06/09/2012;23:13:18;12,751
105;07/09/2012;01:13:18;12,171
106;07/09/2012;03:13:18;11,589
107;07/09/2012;05:13:18;10,98
108;07/09/2012;07:13:18;10,59
109;07/09/2012;09:13:18;10,467
110;07/09/2012;11:13:18;11,029
111;07/09/2012;13:13:18;12,63
112;07/09/2012;15:13:18;13,858
113;07/09/2012;17:13:18;14,314
114;07/09/2012;19:13:18;13,906
115;07/09/2012;21:13:18;12,871
116;07/09/2012;23:13:18;12,292
117;08/09/2012;01:13:18;11,807
118;08/09/2012;03:13:18;11,346
119;08/09/2012;05:13:18;10,834
120;08/09/2012;07:13:18;10,296
121;08/09/2012;09:13:18;10,345
122;08/09/2012;11:13:18;11,102
123;08/09/2012;13:13:18;12,775
124;08/09/2012;15:13:18;14,122
125;08/09/2012;17:13:18;14,673
126;08/09/2012;19:13:18;14,17
127;08/09/2012;21:13:18;13,185
128;08/09/2012;23:13:18;12,654
129;09/09/2012;01:13:18;12,171
130;09/09/2012;03:13:18;11,565
131;09/09/2012;05:13:18;11,102
132;09/09/2012;07:13:18;10,614
133;09/09/2012;09:13:18;10,296
134;09/09/2012;11:13:18;11,2
